stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.37,0,0,0,0,0,0,0
  5-6,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76,0,0,50.27,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34,0,0,28.49,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.22,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.96,0,0,0,0,0,0,0
 24-34,0,1.43,0,2.18,0,0,0,0.63,0,0,1.27,0,0,9.04,0.75,4.85,0.65,26.25,2.85,0,192.03,0,0,0.71,1.45,0,0,0
 36-46,0,2.31,0,3.08,0,5.23,0.83,0,0,0,1.63,0,0,0,0,6.81,1.62,8.52,0.62,0,347.72,0,5.42,0,2.09,0,1.61,0
 48-58,0,0.41,0,9.12,0,28.02,2.63,0.44,0,0,1.38,0.51,0,0,0.7,5.21,2.7,15.29,0,0,595.04,0,0,0,1.95,0,0,0
 60-70,0,2.99,0,4.72,1.34,48.98,0,0,0,0,0.58,0,0,0,2.89,9.28,0.62,20.61,0,0,773.03,0,0,0,2.34,0,1.57,0
 72-82,0,5.7,0,8.57,0,35.13,3.86,0,0,0,1.48,0,0,0,3.54,11.62,0,10.92,0,0,911.74,0,0,0,0,0,0,0
 84-94,0,13.81,6.78,1.17,0,103.89,1.13,1.4,0.99,0,1.16,0,0.78,0,1.44,7,0,33.17,0,6.49,1633.38,0,0,0,0,3.07,1.21,0
 96-106,0,47.51,0,32.74,0,173.91,8.94,4.35,0,1.85,9.14,0,1.99,0,10.39,20.63,10.77,44.58,0,1.07,2267.45,2.24,0.69,0,0,6.19,0,5.61
108-118,0,37.35,0.84,23.25,0,186.69,9.8,4.97,0,1.58,4.37,0,0.56,0,5.07,10.54,2.28,26.27,0,0,1206.04,0,0,0,0,0.45,0,0
120,0,69.14,0,0,0,176.33,0,3.03,0,0,4.48,0,0,0,2.03,5,0,31.57,10.58,0,910.05,0,0,0,0,0,0,0
