stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,14.98,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,53.51,0,11.01,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.39,0,0,0,15.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.49,371.52,61.07,1.07,0,0,0,0,14.82,1.23,0,0,0,0,0,0,621.55,0,0,273.62,177.55,0,0,0,0,0,2.98,2.33,0,1.16,4.72,17.01,0,0,7.73,0,0
 24-34,4.02,0,0,0,45.93,7.02,2.62,0,0,0,0,0,0,6.66,0,0,0,0,0,741.53,0,12.57,61.89,69.41,0,2.07,1.53,0,2.98,2.38,0,0,2.37,4.58,14.92,0,0,86.85,0,0
 36-46,0,0,0,0,59.07,0,5.64,1.08,1,3.38,1.41,0,0,13.38,0,0.62,0,1,0,1306.3,0,230.03,72.32,84.54,0.84,1.93,0,0,10.35,20.39,0,0,6.16,0,9.81,0,1.37,137.96,0,0
 48-58,0,0,0,0,9.34,2.48,23.57,0,1.39,7.58,13.12,0,0,2.9,0,1.62,0,0,0,1752,1,273.14,44.95,154.68,0.49,0,1.77,0,22.56,6.56,0,0,0,0,19.63,0,20.48,125.26,5.38,9.09
 60-70,0,0,0,0,22.13,2.1,51.05,18.28,0,8.41,5.5,0,0,12.94,0,0.86,2.99,0,2.74,2900.06,0,493.26,66.39,154.8,0,2.13,0,0,20.6,6.71,0,0,0,0,22.28,1.46,257.36,73.12,196.9,2.87
 72-82,0,0,0,0,11.92,8.03,54.13,19.2,0.78,2.06,6.01,0,0,0,0,1.73,0,0,0,2160.04,0,149.44,15.27,132.82,0,0,3.55,0,36.48,3.34,0,0,0,0,4.5,0.97,149.89,165.95,215.04,0
 84-94,0,0,0,0,9.57,0,105.87,23.82,0.66,11.45,13.03,0.74,0,3.62,0.79,0,0,0,0,2055.09,0,222.47,30.07,55.86,0,0,3.01,0,21.6,2.49,0,0,0,0,3.07,0,231.45,124.46,288.89,0
 96-106,0,0,0,0,18.94,0,111.63,15.34,6.78,3.05,14.6,0,0,0,0,3.13,3.32,0,16.88,1780.66,0,109.77,21.28,57.06,0,0,0,0,44.71,3.41,0,0.9,0,0,0.63,8.42,158.66,118.61,304.82,6.38
108-118,0,0,2.52,0,7.87,1.45,32.7,26.84,1.28,1.6,4.87,0,0,2.59,4.14,0.51,0.88,0,0,1792.75,0,127.57,7.83,86.18,0,0,0,0,66.64,1.05,0,0,0,0,3.07,4.02,108,103.22,240.73,0
120,0,0,0,0,18.68,0,28.17,15.3,1.56,0,17.99,0,0,0,0,1.45,0,0,0,1313.22,0,122.07,17.55,50.67,0,0,0,0,19.12,1.39,0,0,0,0,0,13.88,56.78,138.89,191.4,0
