stage,epidermis,fin_epithelia,gut,lateral_line,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste
 14-21,0.86,0,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0.76,1.04,0,0.64,0,0,0,0.71,1.41,2.37,10.04,1.33,0,0
 36-46,0,0,0,0,0,0,0,2.47,0,0,15.69,0.59,0,0
 48-58,7.24,4.89,0,0,0,0,0,0,0,4.48,3.41,0,0.69,0
 60-70,0,0,0,0,0,0.59,0,12.92,0,2.96,1.75,0,0,0
 72-82,2.26,0,1.99,0,0,0,0,0,0,0,0,0.84,0,0
 84-94,1.29,0,0.97,3.4,0,0,0,0,0,0,9.39,0,0,0.57
 96-106,2.27,0,0.68,0,0,0,0,0,0,2.36,5.64,0,0,2.03
108-118,0.62,0,0,0,0,0,0.77,0,0,0.44,3.15,0,0,1.89
120,9.91,3.56,0,0,5.02,0,0,0,0,0,1.51,0,0,0
