stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,1.04,0,0.95,9.83,0,0,0
 24-34,0,0,1.61,0,1.25,0,0,0,1.94,0,0,0,0.71,0,89.63,0,1.42,0,0,0,1.06,0,43.16,0,0,0
 36-46,0,0,0,0,4.08,0,0,0,0,0,0,0,1.19,0,298.06,1.77,3.9,0,0,0,1.34,0,92.63,0,0,0
 48-58,0,0,0.43,0,13.3,0,5.42,0,0,6.66,1.9,0,1.02,0.47,450.92,0,2.55,0,0,0,0,0,75.96,0,2.98,0
 60-70,0,0,4.82,0,147.54,1.28,5.18,0,0,0,0,0,4.97,5.15,810.72,0,4.24,0,0,0,0,0,101.81,0,0,0
 72-82,0,0,1.71,2.05,242.49,0,10,0,0,0,0,0,12.18,0.52,885.06,0,1.86,0.84,0,0,0,0,71.36,0,0,0
 84-94,0,0,0.6,0,318.5,0,7.24,0,0,0,0,0,6.36,0,804.98,0,2.17,0,0,0,0,0,41.99,0,0,2
 96-106,0,0.81,4.44,0,264.88,0,6.77,0,0,0,0,0,4.34,0,528.68,0,2.79,0,6.32,0,0,0,14.89,1.22,0,2.48
108-118,0,0.41,5.86,0,203.34,0,6.03,1.31,0,0,0,0,1.76,0.56,689.89,0,0.55,0,1.87,0,0.61,0,22.57,0,0,0
120,0,0,0,0,127.81,0,10.38,0,0,0,0,5.29,7.22,0,870.95,0,0,0,0,0,0,0,10.82,0,0,0
