stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,71.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,0,0,0,0,0,0,0,0,0
  5-6,10.14,60.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.13,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.28,10.42,0,0,21.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,0,20.4,0,0,4.85,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,177.79,19.19,0,0,32.79,0,0,0,34.9,0,6.57,0,0,0,0,0
 14-21,0,0,1.07,1.8,5.75,3.44,0,0,0,0,138.81,0,0,0,0,0,0,0,7.82,0,3.75,125.17,2.99,15.3,55.21,6.99,0,1.53,1.83,137.44,0,360.71,0,0,0,0,0
 24-34,0,0,0,0,2.25,0.86,7.67,0,0,0.83,119.44,0.74,0,0,0,7.97,0,0,9.01,0,7.42,153.77,4.93,79.91,13.32,0,0.62,0,0.76,48.62,5.56,247.98,0,0,14.56,0,1.97
 36-46,0,0,0.92,0,1.47,0,14.02,0,0,0,88.52,0,0,0,0,1.34,0,0,12.15,0,5.19,170.42,0,111.77,2.23,0,0,0,0,25.46,0,170.61,0,0,3.42,0,0
 48-58,0,0,0,0,0,3.01,56.97,0,0.85,0,96.64,0,0.47,0,0,4.26,0,0,14.2,0.52,2.44,99.53,0,71.39,4.24,0,1.46,0,0,20.35,0,176.15,0,0,0,0,10.8
 60-70,0,0,0,0,0.63,0,97.29,0,0,0.9,144.27,0,0,0,0,2.84,0,0,5.42,0,0.77,116.82,0,66.75,24.73,0,0.82,0,0,1.7,0,73.8,0,1.9,9.01,0,45.3
 72-82,0,0,1.91,0,6.88,3.13,71.9,0,0,0.56,106.51,0,0.89,0,0.57,6.28,0,0,25.62,3.78,6.12,80.59,0,61.47,28.01,0,4.51,0,0,2.87,0,37.65,0.97,1.65,1.47,1.28,124
 84-94,0,0,5.95,0.59,1.9,0,72.27,0,0,0.58,78,3.25,0,0,0,4.81,0,0.98,20.54,2.7,0,70.66,0,75.22,29.34,0,8.47,0,0,8.59,0,41.03,1.17,0.71,6.47,2.17,143.42
 96-106,0,0,1.73,0,1,2.48,34.66,0,0,2.75,99.5,4.27,0,1.33,0,11.84,2.19,0.58,28.61,1.93,1.41,71.42,0,123.15,28.01,0,19.49,0,0,3.26,0,72.3,0,0,0,0.58,154.32
108-118,0,0,6.84,0.59,9.95,0,47.12,0.54,0,0,104.55,0.47,0,0,0,8.96,0.97,0,35.41,1.29,2.14,107.7,0,113.28,44.07,0,5.5,0,0,5.8,0,27.83,0.67,0,1.01,0.57,150.67
120,0,0,14.01,0,0,1.84,41.18,0,0,0,48.98,0,0,4.72,0,3.31,4.14,0,51.17,0,0,67.28,0,64.8,9.8,0,8.23,0,0,18.45,0,11.04,0,0,3.54,4.15,50.56
