stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.78,934.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.21,0,0,0,0,0,0,0,0,0,0
  5-6,86.43,1194.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.62,0,0,0,0,22.74,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,24.71,0,3.48,0,0,0,38.73,0,0,0,0,34.41,0,0,0,0,0,0,0,0,0,0,0,399.8,0,0,0,127.05,5.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.49,0,5.47,0,4.44,0,37.97,0,0,0,0,71.12,0,0,0,0,0,0,0,0,0,0,0,379.94,22.33,0,0,114.56,0,6.03,0,12.42,0,4.89,0,0,0,0,0
 14-21,0,0,0,0.85,8.98,1.2,0,0.82,0,0,1.09,1.08,11.65,0,0,1.8,0,0,0,0,1.98,0,0,0,38.79,0,0,0,0,9.5,0,1.63,0.86,0,0.88,16.16,0,0,0,0
 24-34,0,0,0.84,1.3,4.51,0.61,0,6.01,0.68,1.66,1.97,0,6.34,0,0,10.66,0,0,0,3.35,10.15,5.56,0,7.75,58.81,0.69,0.69,9.45,0,21.51,0,0,1.75,0,1.83,20.27,0,7.63,0,0
 36-46,0,0,0,0,5.83,0,0,4.02,0,0,9.68,0,0,0,0,0.67,0,0,0,11.32,16.74,5.68,0,4,57.55,0,3.28,0,0,24.49,0,0,2.03,0,0,14.67,0,1.63,0,5.24
 48-58,0.58,0,0,0,1.94,0,0,7.25,0.45,0.99,8.83,1.92,3.95,0,1.1,0.37,0,1.92,0,0,21.76,21.64,0,2.3,45.75,0,1.41,0.37,0,17.69,0,0,1.17,0,0,22.06,0,5.94,0,1.82
 60-70,0,0,0,0,9.11,0,0,16.11,0.68,0,28.42,7.53,0.59,0,0.64,0,0,0.61,0,0,29.06,11.74,5.32,0.6,48.23,0,0,3.66,0,46.01,0,0,4.22,0,0,27.52,0,0,1.92,0
 72-82,0,0,0,0,3.55,5.46,1.63,24.74,1.4,0,25.66,7.13,1.11,1.25,0.65,4.87,0.75,1.05,0,0,34.35,32.73,0.77,2.89,44.05,0,0,9.99,0,53.81,0,0,3.06,1.06,0,5.5,1.39,5.86,0,17.8
 84-94,0,0,2.2,0,5.09,2.57,6.28,18.98,1.57,1.8,27.89,11.78,0,6.94,0.78,4.93,0,1.43,2.64,0,19,15.34,0,3.46,30.7,0,5.39,1.73,0,113.51,0,0,3.11,0,0,5.08,0,11.75,0.77,0
 96-106,0,0,0,0,13.32,0,8.95,9.33,3.21,0,31.92,18.85,0,3.72,0.58,13.7,0,5.81,11.91,0,22.66,34.56,1.72,0.91,24.49,0,2.24,5.73,0,123.82,0,0,1.61,0,0,1.3,0.68,3.54,2.62,0.62
108-118,0,0,0.83,0,25.09,0,43.69,16.51,3.33,0.62,40.82,19.57,0,0.69,0,7.63,2.3,1.31,2.3,0,38.47,24.9,4.74,0,29.32,0.85,0.64,2.43,0,117.06,0,0,0.54,0,0,0.94,2.52,2.54,7.14,1.29
120,0,0,4.34,0,85.25,0,10.65,29.89,0,0,7.84,18.78,0,0,0,5.54,0,0,0,0,26.11,33.05,13.74,0,36.83,0,3.8,10.21,0,62,0,0,1.58,0,0,0,0,9.37,0,0
