stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.19,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0
 24-34,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,57.49,0,0,0,0.77,5.86,0,0,0,0,0,0,0.97,0,0,0,0
 36-46,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,10.99,2.15,0,0,0,9.7,0,0,0,1.04,0,0,0.62,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.31,5.34,1.29,0,0,4.11,0,0,0,0,1.06,0,0,0,0,0.92,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.08,4.76,0,0,0,8.77,0,0,0,0,1.89,0,7.24,0,0,0,0.96
 72-82,0,0,0.69,0,0,0,1.87,0,0.78,0,0.66,0,1.3,0,0,156.23,0,4.2,0,0,11.47,0,0.56,0,0,1.92,0,0,0,0,0,3.91
 84-94,0,0,2.47,1.37,0,0,3.48,4.89,0,0,0,0,0,0,0,282.25,0,2.97,0,0,2.58,0,0,0,1.49,0.74,0,0,2.26,0,0,0.59
 96-106,0,0,3.76,1.99,0.63,12.68,47.09,0,0,4.64,13.81,1.81,0.69,0.87,0.63,1080.78,0,11.72,1.15,3.19,90.79,0,0,0,5.92,6.61,0,1.43,1.64,1.24,3.21,4.36
108-118,0,0,0,4.53,1.36,0,24.05,0,1.42,0,8.2,1.5,0,4.64,0,1821.29,2.88,16.31,0,1.22,144.92,0,0,0.84,10.71,0,1.21,0,4.38,0,9.31,2.08
120,0,0,0,0,2.08,6.56,34.69,0,1.03,10.43,3.32,3.77,0,0,0,1487.7,0,0,0,1.81,89.74,16.67,0,6.6,0,1.68,0,0,0,0,0,0
