stage,axial,blastomeres,epidermis,erythrocytes,eye,heart,immune,melanocytes,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,17.18,23.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,15.59,0,3.3,0,0,0,0
 10-12,0,0,0,0,7.53,0,0,0,0,0,15,9.05,0,5.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,5.14,0,0,0,8.75,0,0,0,0.79,0.82,0
 36-46,0,0,0,0,0.62,0,0,2.45,0.89,0,5.87,0,0,0,0.79,0,0
 48-58,0,0,0,0,0.96,0,0,0.58,0.75,0,2.79,0,0,0,0,0.39,0
 60-70,0,0,0,0,0.67,0,0,0,1.83,0,1.17,0,0,0,0,0.87,0
 72-82,0,0,0,0.68,0.67,1.15,0,0,0,0.92,8.78,0,0,0,0,0,0
 84-94,0,0,0,0,2.6,0,0,0,0,2.28,7.83,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,2.23,0,0.66
108-118,0,0,0.75,0,0,0,0,0,3.87,0,7.73,0,0,0,0,0,0.7
120,0,0,0,0,0,0,0,0,0,5.62,0,0,0,0,0,0,0
