stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.76,393.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.1,150.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,3.65,0,0,0,67.1,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,268.95,19.09,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,20.9,0,15.91,16.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.37,7.65,0,0,68.32,0,6.2,10.79,0,8.56,0,0,0,0,0,0,0
 14-21,0,0,0,2.87,8.6,4.16,0,0,3.59,0,0,0,0,0,0,0,0,2.16,0,0,1.96,44.3,0,0,0,0,0,0,0,3.46,0,3.05,13.29,0,0,1.69,0,0
 24-34,0,0,0,4.91,0,6.25,0,0.61,3.07,0,0,0,0,0,0,0,0.78,12.88,0,0,6.49,151.19,5.19,2.97,2.15,0,0,3.79,0,0,0,2.53,27.19,0,0,0.77,0,0
 36-46,0,0,0,0,0,33.26,0,0.67,7.49,0,0,0,0,0.63,0,0,0,6.42,0,0,5.79,181.32,0,1.87,0,0,0,0,0,0,0,0,19.84,0,0,2.43,0,0
 48-58,0,0,0,0.63,0,53.47,0.38,1.98,14.54,0,0,0.44,3.06,5.33,0.39,0,0,14.73,0.49,0.83,0.57,155.68,0,0.5,0.39,0,1.17,1.93,0,0,0,0,24.45,0,0,0,0,1.32
 60-70,0,0,0,0,0,68.82,1.33,0,15.67,0,0,0,0,0,0,1.82,0,14.86,0,0,2.53,124.44,0,1.12,0,0,0,1.31,0,0,0,0,12.31,0,5.22,1.15,0,2.69
 72-82,0,0,0,0.75,0,54.42,0,1.75,16.41,1.18,0,0,0,0,0,1.52,0,15.23,0,0,0,96.57,0,0,1.66,0,0,0,0,0,0,0,9.76,0.51,0,2.02,0.56,1.16
 84-94,0,0,0,2.33,0,48.98,0,0,12.99,0,0,0,1.24,0,0,0,0,23.07,2.84,2.34,0.75,61.9,0,0,1.27,0,2.56,4.71,0,0,1.19,0,5.39,0,0,5.52,0,0
 96-106,0,0,0,0.57,0,40.53,0,0,19.7,0,0,0.78,1.79,0,0,1.3,0,8.35,1.9,1.17,0,78.48,0,2.47,1.42,0,0,2.33,0,0,0,0,0,0,0,0.99,0,0
108-118,0,0,0,5.58,0,33.58,0,0,7.88,0,0,0,0,0,0.63,0,0.58,16.07,0,0,2.63,79.17,0.46,0.47,0,0,0,2.6,0,0,0,0,0,2.12,1.3,0.81,2.09,2.08
120,0,0,0,8.04,0,11.05,0,0,9.81,3.97,0,0,0,0,0,0,0,10.43,0,0,5.06,188.66,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0
