stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.08,776.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.55,0,0,0,0,0,0,0,0,0,0,0
  5-6,106.45,486.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.82,0,0,0,0,0,19.67,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.02,0,0,0,15.01,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,76.39,3.96,0,0,21.05,0,0,13.88,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.19,0,33.23,0,0,0,21.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.5,14.93,0,0,54.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.5,0,0,5.11,0,0,0,5.72,0,0,1.15,0,0,0,0,0,0,7.31,0,3.5,129.04,2.84,0,4.03,0.8,0,0,0,5.36,0,0,8.75,37.17,0,0,1.14,0,0
 24-34,0,0,0,0,13.41,0,0,25.19,0,0.85,0,12.35,0,0,5.11,0.69,0,0,0,0,0,35.32,1.52,15.27,416.7,1.67,13.41,2.67,0,0,2.94,0,0,0,0.67,1.32,88.33,0,0,10.73,0,2.13
 36-46,0,0,0,0,3.81,0,0,62.57,1.17,0.68,2,16.91,0,0,0,4.09,0,0,1,0,3.71,31.83,1.67,14.04,442.37,4.16,20.83,0.57,0,0,1.67,0,0,0,0,0,153.78,0,0,9.4,0,1.02
 48-58,0,0,0,0,8.32,2.81,0,151.4,0,1.37,0,33.93,0,0.7,0.69,0,0,0.41,0.81,0,7.38,54.37,1.32,6.53,476.3,0.58,14.06,8.3,0,0,3.34,0,0,0.92,0,0,92.32,0,0,4.58,0,5.88
 60-70,0,0,0.89,0,10.34,0,0,199.7,0,3.53,3.28,25.79,0,0,0,0.61,0,0,0,0,1.64,102.77,0,0,438.77,1,17.99,12.01,0,1.22,2.11,0,0,0,0,0,59.71,0,0,3.9,0,3.78
 72-82,0,0,0,0,0,5,0,183.69,0,0,6.44,27.17,0,0,0,0.66,2.33,1.42,0,0.78,0,105.67,0,2.84,412.51,0,29.96,0,0,0,0.59,0,0,0,0,0,33.49,2.1,0.56,11,0.84,10.54
 84-94,0,0,1.55,0,11.75,4.97,0,159.02,0,1.88,1.27,25.71,0,0,2.56,1.44,0,1.18,0,1.49,0,58.25,2.88,6.4,286.38,1.33,14.93,0,0,0,2.18,0,0,2.18,0,0,43.03,6.48,1.47,5.1,8.43,0.69
 96-106,0,0,0,0,1.22,9.73,0,104.27,0,0,2.29,37.52,1.96,0,0,1.75,0,2.14,1.29,0,1.15,54.03,8.08,2.25,222.88,0,42.12,0.8,0,0,9.47,0,0,1,0,0,5.75,0,0,10.76,1.59,12.19
108-118,0,0,1.15,0,15.93,0,4.71,115.35,1.3,2.69,7.3,35.21,1.75,0,1.35,1.7,0,0.88,6.54,1.13,3.91,52.96,1.83,1.65,331,2.04,19.17,0.47,0,0,1.47,0,0,0.87,0,0,16.06,0.68,0,3.52,0,0.51
120,0,0,2.94,0,12.88,7.35,0,180.96,0,0,0,81.23,1.56,0,0,6.57,0,0,0,1.58,0,156.57,0,0,720.13,0,27.98,9.04,0,15.95,0,0,0,0,0,0,14.26,5.49,0,23.59,0,6.17
