stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,29.5,3.86,0,21.08,0,0,0,4.52,0.87,77.3,1.15,0,0,0,0,0,0,8.99,0,0,12.03,146.81,8.1,0,0,1.95,0,6.54,0,13.33,1.95,2.96,41.67,48.69,0,0,0,0,0
 24-34,0.88,0,0.73,21.43,0.69,0,29.27,8.83,2.47,0,1.94,0,14.19,0,2.93,0,0,0,0,0,20.97,0.68,0,12.03,273.9,0,4.84,2.05,0,0,1.66,0,0,18.68,0.99,32.06,71.63,0,0,42.05,0,0
 36-46,0,0,0,60.58,1.1,0,44.86,35.81,0,0.78,18.48,0,0,0,2.23,0,0,1.35,7.64,2.68,17.24,0,0.71,22.68,298.69,0,1.45,0,0,2.66,5.89,0,1.82,2.17,2.61,1.49,80.2,0,0,5.92,0,0.57
 48-58,0,0,0,30.76,0.45,0,123.72,63.5,4.56,2.26,30.74,0,1.18,0.55,15.88,0,0.39,0.47,0,0,34.01,0,1.79,23.53,287.33,4.33,1.48,0.68,0,0,19.13,0,0,1.06,11.06,0,54.95,0,0,3.93,0,1.33
 60-70,0,0.86,0,33.6,4.14,0,120.74,42.88,3.2,1.73,23.99,0,0,0,16.55,0,3.59,0,0,0.72,23.05,0,0.7,19.43,203.79,0,1.42,0.9,0,0,17.01,0,0,1.36,15.79,0,23.63,0.77,0,4.76,1.92,0
 72-82,0,0,0,18.35,3.25,0,77.92,17.28,5.65,2.46,29.11,1.47,0,0.93,16.41,0.62,0,0,3.06,0,43.48,0,6.32,8.89,152.35,0,3.14,0.76,0,1.53,9.88,0,0,0,4.89,0,24.37,0.88,1.97,8.3,0,6.55
 84-94,0,0,0,36.01,20.46,0,113.6,12.44,3.87,3.98,27.46,0,0,0,11.12,0.73,0,0.63,0,0.68,31.17,0.71,1.22,5.25,113.68,0,0,2.77,0,0.79,15.66,0,0,1.66,5.26,0,19.8,0,3.44,2.92,3.28,0
 96-106,0,0,0,33.12,10.47,0,133.63,19.47,6.72,0.77,36.9,0.81,0,0,17.55,0.58,1.38,0,4.97,7.73,54.33,8.51,3.04,8.4,106.39,0.69,2.27,1.82,0,0,15.67,3.39,0,0,3.36,0,23.05,0,0,7.03,0.76,0
108-118,0,0,0,43.36,8.43,5.46,98.76,8.8,5.43,3.79,43.93,4.38,0,0,18.65,1.58,1.26,0,3.33,1.08,25.59,2.81,0,7.12,86.07,0.67,0,0,0,1.14,15.1,0,0,1.86,5.25,0,8.7,0.44,0,17.29,0,3.21
120,0,0,0,29.32,3.6,0,118.81,2.46,6.97,0,156.3,5.07,0,0,19.52,1.45,0,0,0,0,28.66,0,16.98,11.41,274.91,1.28,0,2.51,0,0,17.66,0,1.12,1.74,6.93,0,9.61,0,0,8.52,0,0
