stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,277.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.91,187.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.8,0,0,4.17,0,0,0,0,0,17.2,0,0,0,0,0,0,0,0,0,26.11,0,0,0,14.56,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.9,0,77.84,0,0,0,0,0,0,0,0,44.96,0,0,0,0,0,0,0,0,0,454.62,266.92,0,0,27.31,0,0,0,0,5.3,0,0,0,0,0
 14-21,1.85,0,0,0,168.79,14.65,7.01,0,0,0,14.86,0,0,0,0,5.35,0,0,52.12,0,0,7.49,323.62,164.27,0,2.26,0,0,33.24,0.95,0,11.23,276.29,0,0,0,0
 24-34,0,0,0,0,77.64,3.51,31.66,0,4.8,0,79.4,0,2.28,0,0,15.19,1.59,0,137.84,9.4,0,19.11,1018.91,16.89,1.9,4.54,0,0,66.84,0,0.79,0.94,541.45,0,0,0,0
 36-46,0,0,0,0,16.32,1.11,51.52,0.68,0,0.97,34.26,0,0,0.92,0,0,0,0,299.83,0,0,46.09,1653.72,12.16,0.66,7.21,0,0,87.38,6.43,0,0,425.45,0,0,0.75,0
 48-58,0,0,0,0,30.45,0,74.34,0,0,5.4,17.84,0,0,0,2.24,0,0,0,263.48,0.82,0.45,32,1159.36,8.34,0,20.31,0,0.91,81.89,0,0,0,198.17,0,0.64,2.32,0.45
 60-70,0,0,4.68,0,45.87,4.44,16.11,2.26,5.04,6.92,36.63,10.84,0,0,0,0,0,0,316.69,0,0,9.69,818.73,15.52,1.72,17.18,0,7.87,75.05,0,0,0,116.82,0,0,0,9.17
 72-82,0,0,4.4,0,37.14,0,16.14,0.59,1.55,8.95,29.49,32.17,0,0,0,0,0,0,321.75,3.14,0,8.18,317.61,0,0,21.49,0,8.6,85.27,0,0,0,64.72,1.58,0,1.24,0
 84-94,0,0,13.54,0,49.45,0,47.35,0,2.37,9.92,10.75,59.18,0,0,0,0,5.26,1.84,328.43,0.64,0,4.66,331.52,0,0,35.13,0,11.44,242.63,0,0,0,65.93,3.74,0,10.07,0
 96-106,0,0,0,0,41.35,0,47.56,0.95,0,1.88,15.34,62.58,0,0,0,1.75,0,7.31,405.93,1.45,0,0.59,198.52,0,0.69,44.45,0,7.16,254.25,0,0,0,22.59,3.39,0,0,0
108-118,0,0,0,0,40.83,2.66,25.24,0,2.13,1.56,10.51,25.21,2.74,0,1.43,1.4,0.53,3.12,424.16,1.54,0,5.31,231.8,5.52,1.42,18.69,0,13.92,180.73,0,0,0,29.54,0.47,0,0,0
120,0,0,0,0,84.2,1.98,20.99,1.72,1.83,20.79,14.78,65.46,0,0,2.44,0,0,0,458.63,1.16,12.66,1.26,316.8,0,0,20.48,0,27.2,87.73,0,0,0,28.93,0,0,0,0
