stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.72,151.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,74.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89,0,8.51,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,0,0,34.23,0,0,0,3.78,0,9.07,0,0,0,0,0,0
 14-21,0,1.36,1.07,0,15.19,9.49,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,0,0,38.51,57.92,2.99,0,0,1.1,0,0,12.18,9.09,4.44,230.96,20.43,0,0,4.56,0,0
 24-34,0.88,0,0,0,21.43,9.16,1.32,0,3.81,5.1,2.18,0,0.67,1.71,0,0,0,0,0,46.3,0,0,52.02,115.51,2.31,1.6,6.36,0,0,0,0,2.27,1.64,47.8,18.62,0,0,38.69,0,0
 36-46,0,0,0,0,6,1.12,0.77,0,14.48,17.11,9.2,0,0,0,0,0,0,0,0,68.13,0,0,27.39,67.97,0,3.45,4.03,0,0,0,0,5.67,0.81,0,21.16,0,0,55.74,0,0
 48-58,0,0,0,0,14.86,0,23.61,0,0.74,11.09,21.87,0,0.87,0,0,0,0,0.94,0,62.55,0,4.73,20.98,109.12,0,3.93,2.54,0,0,0,0,2.55,1.46,0,20.21,0,0.61,60.43,0,0
 60-70,0,0,0,0,9.72,0,108.6,0.58,1.49,5.81,32.03,0,2,1.77,3.99,0,0,0.57,0,157.02,2.63,4.13,24.01,119.58,0,0,31.43,0,0,0,0,1.25,0,0,8.04,0,1.23,25.73,0,0
 72-82,0,0,0,0,12.64,0,347.98,0,0,4.27,64.75,4.65,2.16,2.73,0,2.75,0,5.57,0,294.55,0,5.72,20.51,128.97,0,7.31,15.18,0,6.95,0.61,0,3.18,4.35,0,13.6,1.01,7.68,62.22,0.67,0
 84-94,0,0,0,1,3.03,0,171.05,0,1.19,9.05,33.25,0.8,2.16,0,0.56,1.38,0.9,3.6,0,262,0,9.47,17.2,117.45,0,2.44,18.27,0,2.68,0,0,0,0,0,12.32,2.07,1.77,42.37,3.29,0
 96-106,0,0,10.93,0,11.18,0,178.59,2.36,11.58,1.71,43.28,2.64,0,7.26,0,3.55,0,3.02,1.39,319.32,0,6.25,15.01,130.16,0,0,28.24,0,15.62,3.41,0,5.78,0,0,8.85,3.13,6.5,54.9,1.02,4.64
108-118,0,0,6.17,0,8.4,0.48,130.45,1.58,4.12,3.6,68.92,7.21,0,0.49,3.25,9.94,1.37,2.38,3.36,415.5,0,4.41,28.6,181.13,0,4.65,22.69,0,2.77,0.89,0,2.05,4.75,0,6.75,11.01,7.84,62.58,5.57,2.03
120,0,0,5.13,0,16.45,1.25,149.12,5.69,0,4.64,117.53,5.83,0,2.18,1.38,12.05,0,5.12,0,479.88,0,2.22,8.81,237.51,0,5.79,27.23,0,68.96,1.59,0,3.24,0,0,9.82,14.82,0,164.43,7.28,0
