stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.59,212.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.31,179.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.06,8.06,4.68,0,0,0,32.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.2,7.24,0,0,40.12,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.56,0,0,4.44,0,21.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.78,0,0,0,57.35,0,0,10.95,0,15.99,0,0,0,0,0,0,0
 14-21,0,0,1.8,8.57,2.18,0,6.42,0.87,0,0.83,0,0,0,0,0,0,0,0,0,6.08,0,0,9.89,89.31,0,4.9,2.91,1.12,0,1.35,0,8.5,0,0,3.47,18.51,0,3.49,0,0
 24-34,0,0,0,6.42,1.61,0,14.16,0,0,3.64,0,0,0,0.9,0.7,0,1.21,0.68,0.78,25.85,0,0,8.19,174.11,0.95,5.24,7.39,0,0,2.12,0,0,0.93,0,1.67,23.07,0,15.17,0,3.18
 36-46,0,0,0,1.41,0,0,9.92,0,0.64,4.16,0,0,0,0,0,0,0.99,0,0,29.6,0,0,5.44,137.44,0.68,4.58,1.23,0,0,10.72,0,0,0,0,0,33.83,0,9.05,0,0
 48-58,0,0,0,2.42,0,0,19.29,0,2.91,5.98,0,0,1.55,4.18,0.46,0,0.39,0,0,22.62,0,0,7.9,98.32,0,8.79,2.03,0,0,0.68,0.65,0,0,0,0,30.73,0,5.89,0,3.97
 60-70,0,0,0,0.9,0,0,67.08,0,1.13,10.58,0,0,0,0,0,0,0,0,2.64,38.63,2.4,10.03,1.62,155.73,0,10.41,0.61,0,0,0,0,0,0,0.64,0,33.31,0.9,2.15,0,6.89
 72-82,0,0,0,7.3,13.7,0,37,0.55,5.49,9.5,0.63,0,0.88,0,0,4.38,0,0,0,45.33,0,0,7,127.16,0,9.67,1.04,0,1.08,0.65,0,0,0,0,0,27.8,0,19.83,1.49,0
 84-94,0,0,0,4.09,1.46,0,26.09,2.93,1.01,15.49,0,0.6,1.46,2.99,0.78,1.67,0,0.59,0,41.77,0,3.07,4.31,80.36,0,9.97,0,0,0,6.32,0,0,0,0,0,27.81,3.47,9.82,4.98,3.93
 96-106,0,0,0,4.52,8.14,0.71,25.28,3.34,1.65,15.77,1.43,0,0.76,0,0.82,1.04,0.62,0,0.6,40.19,0,1.05,10.89,131.7,0.62,35.51,4.07,0,3.32,4,0,0,0.63,0,0,9.38,0.67,13.15,1.42,0
108-118,0,0,0,2.81,18.69,0,18.52,0,0,30.11,0.9,0,0,2.42,3.42,5.87,0,4.89,2.8,61.86,0.77,1.05,2.71,139.67,0,11.16,3.97,0,0.87,1.61,0,0,0,0,0,7.8,0,8.7,0,6.13
120,0,0,0,2.18,6,0,77.53,0,5.55,29.93,0,0,3.24,5.32,1.77,1.05,0,0,0,104.75,0,0,21.59,230.9,5.09,9.91,19.38,0,0,1.09,0,0,0,0,0,8.64,0,3.09,3.35,0
