stage,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0
 10-12,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0.83,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,23.3,0,0,0,0.83,1.03,0,0,4.04,0,0,0
 36-46,0,0,0.66,1.62,0,0,0,0,0,0,8.35,0,0,0,1.05,1.21,0,0,4.12,0,0,0
 48-58,0,0,0.61,1.9,2.47,1.38,1.7,0,0,0,16.27,11.73,0,0,9.49,0.78,0,0,0,0,0,0
 60-70,0,1.73,13.91,0,11.2,0,0,0,0,0,11.79,46,0,0,8.85,1.1,0,0,0,0,0.68,0
 72-82,0,0,14.79,0,0.77,0,0,0,0,0,19.37,77.89,0,0,22.46,2.18,0,2.97,0.64,1.11,0,8.31
 84-94,0,0,14.94,0,6.84,1.2,0,0,0,0,18.98,54.89,0,0,31.45,0,2.58,0,0.64,0,0.65,0
 96-106,0,1.46,26.97,0,0,10.78,0,1.9,0.92,2.32,50.05,71.91,11.84,3.14,16.15,0.87,0,0,0,0,0,1.5
108-118,0,0.76,28.28,1.02,0,6.71,0,0,0,0,91.3,79.9,0,0,22.4,2.8,0,1.6,2.31,0,1.4,4.56
120,0,1.08,10.6,0,0,8.98,0,0,0,2.64,55.03,55,0,0,1.54,0,0,0,0,0,0,0
