stage,axial,blastomeres,erythrocytes,eye,fast_muscle,glial,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord
  3-4,11.6,64.67,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,16.8,0,0,10.15,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.72,0,0,3.62,0,6.41,10.22,0
 14-21,0,0,0.85,1.38,0,0,0,20.75,0.81,0,0,3.35,0,1.76,3.5
 24-34,0,0,0,0.7,0,0,0,22.72,0,0.85,0,1.71,0,0,3.89
 36-46,0,0,0,0.6,0.73,0,0.78,2.09,0,0,0,5.09,0,0,0
 48-58,0,0,0,0.69,0.43,0,0.86,3.27,0,0,0,0,0,0,0
 60-70,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.86,1.21,6.57,0,0,0,0,0,0,0
 84-94,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0
