stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,104.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.68,0,0,0,0,0,0,0,0
  5-6,92.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.95,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,69.39,0,0,0,26.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.2,0,0,0,30.87,0,0,14.56,0,0,0,0,0,0,0
 14-21,0,0,0.94,5.18,0,0,0,0,4.35,0,0,0,0,0,12.82,0,7.12,11.82,0,0,0,0,0,0,0,0,0.88,1.79,0,0,0,0
 24-34,0,0.71,0,0.61,0,2.12,0,0,0.71,1.96,0,0,0,0,6.04,0,1.39,44.28,0,6.78,5.98,0,0,0,0,1.45,0,19.09,0,0,0,0
 36-46,0,1.03,0,2.38,0,3.41,0,0,0,0.75,0,0,0.56,0,5.92,0.67,0,77.1,3.36,14.59,0,0,0,0.63,0,0,0,25.7,0,0,0.91,0
 48-58,0,1.09,0,0,0,5.31,0,0.92,0,0.49,0,0,0,0,1.23,0,1.6,139.33,12.21,5.79,7.65,0,0.45,0,0,0,0,11.94,0,0,0,0
 60-70,0,0,0,0,0,21.22,0,5.78,0,1.85,0,0,0,0,4.04,0,0.67,252.38,0.67,6.59,2.12,0,0,0,0,0.62,0,13.19,0,0,0,0
 72-82,0,2.61,0,2.18,0,44.03,0,7.95,0,0,0,0,5.83,0,4,4.29,1.1,382.59,0,5.79,4.47,0,0,0,0,0.97,0,20.65,0,0,0,0.75
 84-94,0,0,0,0,0,26.89,0,1.79,0,0,0,0,0,0,8.03,2.95,0,231.51,0,11.38,2.06,0,0,0,0,0,0,16.61,0,0.88,0,1.13
 96-106,0,1.08,0,0.85,0,37.82,0,3.42,0.57,0,0.95,0,0,0,10.53,1.26,0,277.3,0,3.7,1.94,0,1.6,0,0,0,0,14.98,0,0,0,0
108-118,0,0.41,0.74,4.2,4.55,39.68,3.18,0,0,0,0,0.49,0,0.66,1.8,2.48,2.74,329.56,0,6.34,7.87,0,0,0.62,0,1.91,0,16.19,0.84,0,0,0
120,0,0,0,0,11.75,31.85,0,16.52,0,4.26,0,0,3.86,0,0,2.47,0,443.31,5.46,8.88,17.14,0,0,0,2.5,0,0,16.75,0,0,12.8,0
