stage,glial,immune,mesenchyme,neural,periderm
 36-46,0,0,0,0.59,0
 48-58,1.72,0,0.38,0,0
 60-70,0,0,0,2.18,0
 96-106,0,0.9,0,0,0.63
108-118,0,0,2.16,0,0.61
