stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,237.83,3138.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.65,0,0,0,0,0,0,0,0,0,0
  5-6,150.96,2768.29,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.43,0,0,0,0,0,59.41,0,0,0,0,0,0,0,0,0,0
  7-9,19.86,31.26,27.59,0,0,75.09,0,0,0,0,0,25.83,0,0,0,0,0,0,0,0,0,0,0,671.73,36.86,0,0,212.64,0,0,11.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,68.53,0,0,29.71,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,419.57,67.28,0,0,226.59,0,0,0,10.41,25.89,0,15.63,0,0,0,0,0
 14-21,0,4.07,0.8,29.62,9.8,8.01,0,0,0,0.89,1.81,0,2.22,14.64,0,0,0,0,3.01,57.71,0,0,22.7,55,7.36,0,0.81,0.91,0,1.08,0,18.31,0,3.97,11.48,30.83,0,4.37,0,11.19
 24-34,0,0,0,25.61,1.45,21.06,0,5.03,8.87,6.06,2.24,0,1.01,69,1.32,4.79,0,5.54,18.02,152.79,0,0,84.06,90.64,2.31,0,1.35,1,0,7.69,0,0,0,0,21.2,23.5,0,48.99,0,43.82
 36-46,0,0,0,19.22,0,8.08,0,10.61,40.01,17.84,0,0,6.73,63.49,0,15.72,0,0,21.71,257.88,0,1.52,64.57,70.68,10.64,0,0.71,0,7.92,3.59,0,7.56,0,5.71,0.83,16.35,0,15.7,0,98.95
 48-58,0.58,0,0,7.99,4.62,21.52,0,3.61,44.94,16.37,0,0,2.09,104,0,26.31,0,0,25.14,289.06,0,2.6,43.31,73.51,0.57,0,5.16,0,0.45,3.11,0,0,0.37,0.76,0,12.92,1.04,10.6,0,86.05
 60-70,0,0,0,33.94,0,1.89,0,19.36,37.58,27.27,0,0,0,94.19,0,19.41,0,8.17,16.13,358.2,0,9.82,30.5,42.79,0,4.76,0,0,0.63,9.46,0,0,0,0,0,5.39,4.91,18.77,1.44,114.14
 72-82,0,0,0,9.49,7.13,21.69,0,5.02,60.13,29.63,0.99,0,7.14,105.99,0,27.08,1.2,0,16.65,524.43,0,25.62,41.85,68.59,0.55,1.47,0.67,0,2.27,4.84,0,0,2,0,0,9.76,16.42,38.83,2.86,68.88
 84-94,0,0,0,13.99,0,33.06,1.38,9.23,37.39,16.04,0.57,0,5.09,118.79,0,46.88,0,1.81,25.38,415.6,0,6.73,19.03,28.41,0,0.71,0,0,0,4.46,0,0,0,0,0,1.07,7.69,22.45,11.7,34.32
 96-106,0,0,0,22.32,5.8,21.53,0.62,15.93,28.04,25.41,0.76,0,6.99,132.63,0,19.74,0,10.62,8.42,376.29,4.16,27.91,29.09,58.28,0,3.75,1.48,0,6.08,2.36,0,0,1.65,0,0,5.57,10.05,64.78,18,77.94
108-118,0,0,0,15.14,0.49,19.18,0,8.84,21.46,18.77,0.84,0,0.56,138.4,2.59,32.92,0,0,8.87,356.82,0.94,22.74,20.03,41.3,0,0,2.47,0,2.66,0.47,0,0,0.42,0,0,1.65,6.36,39.31,15.26,56.09
120,0,0,0,21.66,4.76,21.4,0,5.53,59.64,22.4,0,0,0,227.84,0,16.02,4.16,0,21.02,402.54,0,59.42,15.78,58.93,3.89,7.88,0,0,2.03,0,0,0,0,0,0,1.34,4.31,41.34,62.47,48.86
