stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,31.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0
  5-6,25.2,61.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.12,0,0,0,8.09,0,0,0,0,0,0,0,0
 10-12,0,38.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724.29,0,0,0,9.35,0,0,11.4,0,0,0,0,0
 14-21,0,0,2.32,0.81,0,0,0,0.98,0,0.84,0,0,0,0,2.58,0,0,1061.28,0,0,0,0,0,0,1.44,3.84,571.78,0,1.5,0
 24-34,0,0,0,0,4.04,0,0,2.41,0,0,0,0,0,0,2.97,0,0,1111.48,0,0,0,0,0,0,0,0,406.78,0,0,0
 36-46,0,0,0.94,0,714.51,0,1.1,56.63,0,0,0,0,0,0,3.42,0,1.06,2364.95,9.19,0,0,0,0,7.13,0,0,519.64,0,0,0
 48-58,0,0,4.01,0,1765.18,0.44,0,143.32,0,0.63,0,0,0,4.16,9.24,2.68,1.21,1072.62,1.25,0,1.08,0,0,0.53,0,0,258.04,0,0,0
 60-70,0,0,4.78,0.74,2697.5,2.4,0,68.15,0,0,4.14,0,0.74,0,6.9,0,0,334.77,0,4.08,0,0,0,0,0,0,75.39,0,1.24,0
 72-82,0,0,4.29,0,1912.81,3.86,0.56,84.54,1.79,0,0,0,0,0,17.39,0,1.68,319.79,0,0,2.28,0,0,1.91,0,0,19.06,0,0,0
 84-94,0,0,16.12,0.57,1151.85,0,5.22,80.54,0.72,0,0,7.75,0,5.22,25.1,1.62,3.58,168.57,0,1.04,0,0,0,0,0,0,32.84,2.55,0,0
 96-106,0,0,1.68,0,767.22,0,0,63.99,0,0,0,0,0,0,11.11,0,1.41,116.13,0,0,0,0,1.01,0,0,0,2.92,0,0,1.91
108-118,0,0,8.99,0,978.12,0,0,68.45,0,0,0,0,0,0,0,0,0,171.53,0,0,0,0,0,3.1,0,0,0,0,5.23,0
120,0,0,2.93,0,758.14,0,0,106.12,1.09,0,0,0,1.26,0,7.49,0,2.28,309.21,0,0,0,0,0,1.75,0,0,0,0,0,0
