stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.56,12.37,0,3.53,1.44,2.27,1252.12,154.5,5.42,0,0,0,0
 24-34,3.54,0,11.28,0,0,0,0,0,0,0.69,0,0,0,1.66,0,42.45,24.42,1.02,0,0.75,0,728.16,5.15,2.86,0,0,5.97,0
 36-46,0,0,11.46,0,0,0,7.27,0,0,0,0,0.67,0,4.53,0.56,28.76,38.07,1.22,14.25,3.69,0,813.67,0,8.18,0,0,0,0
 48-58,2.88,0,34.92,4.31,0,0.41,9.12,0,0,0,0,0,3.19,7.6,0,10.9,107.12,0,4.77,1.2,0,1121.86,0,28.2,0,0,3.15,5.49
 60-70,0.9,0,30.92,2.15,0,0,0,0,0,1.17,0,0,0,0,0,2.54,37.14,0,8.92,0.7,0,262.5,0,3.94,0,0,0,0
 72-82,0,0,20.74,5.31,0,0,4.52,0,0,0,0,0,0,3.03,0,0.69,42.16,0.53,0,0,0,183.58,0,15.45,0,0,2.75,0
 84-94,1.87,0,42.56,25.91,0.59,0,0,0,0,0,0,0,0,11.68,0,3.2,56.11,0,0,9.96,0,535.25,0,10.72,0,0,2.24,0
 96-106,7.2,3.72,105.06,27.34,0.56,1.11,12.81,0.67,1.56,1.22,0,0,0,27.64,0.7,1.49,67.14,2.49,0,5.01,0,578.67,0,1.72,0,5.01,1.49,6.84
108-118,0.89,4.48,6.93,26.02,0.55,0.52,9.97,0,0.5,0.42,0,0.44,0,6.99,0,0,32.74,2.11,8.11,2.05,0,237.01,0,7.73,0,0,0,0
120,0,0,1.73,93.24,0,0,0,0,0,1.36,1.43,0,0,3.99,0,0,2.51,11.46,0,0,2.24,64.2,0,5.94,2.24,0,0,0
