stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,122.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.15,23.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48,0,0,0,26.16,0,0,9.99,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,0.99,0,0,0,0,0,0,0,0,0,3.42,5.11,0,0,0,0,0,0,0,0.81,14.95,3.21,0,0,0,0,0
 24-34,0,0,1.26,4.03,0,4.77,0,0,0,0,0,0,0,1.52,0,2.05,105.01,8.29,0.62,0.65,0,0,12.79,0,0,1.77,37.85,0,0,0,0,0
 36-46,0,0,0,3,0,0.73,0,0,0,0,0,0,0,1.23,0.56,0,214.28,0,0,0,0,0,14.75,0,0,0,59.92,0,0,1.12,0,3.81
 48-58,0,0,0,0.63,0,27.11,0,0,1.55,0,0,0,0,7.65,0.51,0.42,388.74,0.98,0,2.32,0,0,11.59,0,0,0,48.51,0,0,0,0,6.16
 60-70,0,0,0,0,0,146.94,0,0,21.82,0,0,0,0,12.34,0,0.64,713.61,2.67,0,0,0,0.84,3.23,0,0,0,53.33,0,0,3.23,0,8.49
 72-82,0,0,1.65,0.84,6.44,262.61,0,2.38,10.13,1.21,0,0,0,5.88,0,0.95,895.34,0,0,0.54,0,0,0.61,0,0,0,69.54,0,0,1.67,0.91,0
 84-94,0,0,0,4.68,2.51,290.74,0,3.75,25.95,0,0,0,0,17.29,0,0,659.77,0,6.04,0,0,0,2.53,0,0,0,34.19,0,0,0,0,3.53
 96-106,0,0,0,4.07,0,279.71,2.37,0,16.99,0,1.04,0,0,5.97,0,0,533.54,2.25,2.18,1.65,0,0,3.48,0,0,0,20.86,1.69,0.94,1.45,0,0
108-118,0,0,0,2.92,0,234.12,0,1.81,8.84,0.43,0.63,0.56,4.49,29.1,0,2.96,849.15,0.54,0.47,0,0,0,0.79,0,0,0,23.15,0,0,1.76,1.03,0
120,0,0,0,16.51,0,202.14,0,0,13.96,0,6.39,18.38,0,17.28,0,0,1170.92,0,0,2.92,0,0,0,0,0,0,47.99,0,0,0,0,4.74
