stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,87.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21,0,0,16.48,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.98,3.65,0,0,0.89,0,0,0,0,0,0,0,0,0,0.86,0,0.82,13.38,1.29,0,0,0,7.48,2,0,4.61,0,0,0,0
 24-34,0,0,0,0.81,0,0,1.06,0,1.24,0,0,0,1.29,0,0,0,0.81,0,1.12,29.83,0,0,0,0,0.78,0,1.32,17.5,0,0,0,0
 36-46,0,0,0,0,0,0,0.72,0,0,0,0.89,0,0,0,0,0.7,5.2,0,3.28,43.24,0,0,0,0,12.13,0,0,8.83,0,0,4.93,0
 48-58,0,0,0,0,0,0,6.13,0,1.36,0,0.66,0,0,0,6.21,0,7.49,0,0.38,41.14,0,0,0,0,4.26,0,0,8.85,0,0,11.37,0
 60-70,0,0,0,1.98,0,0,17.35,0,1.42,1.29,0,0,0,0,5.95,0,11.81,1.48,0.99,50.51,9.23,0,0,0,0.8,0,0,24.53,0,0,4.37,0
 72-82,0,0.93,0.62,0.99,0,0,19.86,1.08,4.77,0,1.6,0,0,0,9.55,0,10.8,0,0.5,61.12,0.51,0,0,0,6.16,0,0,12.71,1.7,0,9.43,0
 84-94,0,0,2.49,3.74,0,1.18,13.93,0,1.78,0,0,0,0,0,16.53,0,7.49,0,0.6,22.6,0,0,0,0,6.46,0,0,1.21,0,2.15,16.67,0
 96-106,0,0.61,0.7,0,0,1.67,7.35,1.1,3.06,0,0,2.91,0,0,16.69,0,17.9,0,0,26.27,0,0.91,0,0,2.62,0,0,1.95,0,0.67,16.36,0.63
108-118,0,0,0.59,2.27,0,16.72,6.66,4.64,7.44,0,0,0.54,0,0,23.08,0,14.97,0,2.18,31.34,0,0,0,1.79,3.7,0,0,2.63,0,2.44,14.33,0
120,0,0,3.17,0,1.48,3.14,20.06,0,12.55,0,0,0,0,12.97,16.51,0,19.72,0,0,73.97,0,0,0,0,5.64,0,0,0,0,0,1.66,0
