stage,blastomeres,endocrine_pancreas,glial,immune,neural,periderm,vasculature
  3-4,27.71,0,0,0,0,0,0
  5-6,11.06,0,0,0,0,7.41,0
 24-34,0,0.75,0,0,0,0,0
 48-58,0,0,0.71,0,0,0,0
 72-82,0,0,0.93,0,2.11,0,0
 96-106,0,0,4.32,0.9,0,0,2.09
108-118,0,0,0,4.1,1.32,0,0
120,0,0,0,2.76,0,0,0
