stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,235.56,14.39,0,0,0,0,0,0,0,0,0,0,227.03,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,5.46,0,97.28,0,0,0,12.17,0,0,0,0,590.79,0,0,0,0,0,0,0,0,0,0,79.98,0,0,0,5.17,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,46.88,0,0,0,170.78,0,0,0,0,73.65,0,0,0,0,0,0,0,0,0,0,2177.93,0,0,0,52.6,0,0,7.88,0,0,0,0,0,0
 14-21,1.77,0,4565.73,2090.95,146.3,3.57,0,5.49,1.17,0,0.88,35.45,12.69,0,0,0,0,14.41,0,121.37,0,0,8.96,2466,4.21,0,5.83,0,0,0,7.23,5.42,143.6,0,0,0,0
 24-34,0,0,4817.84,991.41,7.17,8.63,0,9.33,0,0,3.29,60.59,0,0,0,0.63,0,89.84,0,22.43,0,0,0.6,849.28,0,1.36,0.64,0,0,3.14,0,3.8,26.06,0,13.4,0,1.99
 36-46,0,0,8175.55,150.66,393.34,0,0,3.09,0,0,3.73,18.08,0,0,0,0,0,15.64,0,4.6,0,0,0,67.1,0.56,0,0,0,0,3.28,0,0,22.38,0,7.17,0,0
 48-58,0,0,1653.46,4.19,182.41,0,0,44.96,0.46,0.44,5.43,1.36,0,0,0,0,0.87,0,0,10.62,0,0,1.73,714.51,1.99,1.74,0,0,0,1.28,0,0,20.36,0,3.33,0,8.7
 60-70,0,0,2219.33,0,3.37,0,0,53.88,0,3.82,15.76,1.94,0,0.75,0,0,0,0,9.72,7.62,1.01,0,9,1240.44,0,0,0,0,0,0.93,0,0,16.31,0,3.53,0,0
 72-82,0,0,2624.32,0,2.47,0,0,24.96,0,412.14,130.89,5.34,0,0,0,0,0,0.96,0,3.9,0,0,0,2607.46,0,0,0,0,0,1.42,0,0,6.42,0,0.93,0,0
 84-94,0,0,4081.44,0,8.94,0,0,49.95,0,0,6.78,184.65,0,0,1.16,0.6,0,0,0,12.08,0,1.32,0,1802.31,0,0,0,0,0,1.49,0,0,8.67,0,5.09,0.91,0
 96-106,0,0,3074.15,0,12.22,14.16,0.63,171.02,1.96,0,7.03,19.4,0,2.51,1.89,0,0,9.55,0,59.03,0,2.82,2.02,1288.51,0,2.64,0.85,0,2.63,24.54,0,0,4.53,0,14.82,0.68,12.2
108-118,0,0,1922.64,0,18.25,1.96,1.22,70.69,0.52,0.5,9.92,5.79,0,0,0.5,1.26,0,0,0,49.84,0,2.64,0.76,1753.11,9.39,2.53,0.48,0,0.92,10.74,0,0,13.54,2.62,6.77,0,12.8
120,0,0,6554.03,0,6.79,8.06,0,117.64,0,0,10.88,15.72,0,0,20.45,1.07,0,4.54,0,57.03,0,9.3,5.1,2110.95,0,0,0,0,0,0,0,0,0,0,0,0,0
