stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,17.21,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.04,0,0,0,0,0,0,0.62,0,0,0,1.2,0,0.85,0,1.29,0,5.16,0,0
 36-46,5.23,0,0,0,1.08,0,0,0,0,0,13.55,4.93,0.55,2,8.67,0,0,0.78,1.11,0,2.11,0,1.58
 48-58,0.77,0,0.88,0,0,0,0,0,0,0,28.59,0,0,0,32.09,0,0,0,0.76,0,1.29,0,41.33
 60-70,0.71,0,0.9,1.86,0,0,0,0.71,0,0,15.54,0,0,0,81.66,0,0,0,0,0,0,0,20.52
 72-82,0,0,12.34,0.73,0,1.34,0,0,0,0,10.83,2.15,0,0.73,242.32,0.66,0,0,1.16,0,1.71,0.75,95.05
 84-94,3.16,0,44.05,0.62,0,0,0,0,0,1.15,3.43,0,1.77,0,121.52,1.54,0,0,0,0,0.56,0,101.07
 96-106,31.17,0.9,4.58,1.54,2.96,0,0,0.66,0,0.7,9.42,8.31,0,1.99,329.64,0,2.72,0,1.95,0,2.88,0,98.35
108-118,3.56,0,8.27,0.56,1.79,0,0,0.81,5.45,0,11.22,1.05,0,2.4,395.78,4.65,3.32,0,0,0,2.77,0,212.73
120,4.27,0,7.22,0,9.08,0,0,0,0,0,1.64,10.71,0,0,972.14,6.78,0,0,0,1.32,13.55,0,15.68
