stage,blastomeres,endoderm,eye,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc
  3-4,84.95,0,0,0,0,0,0,9.9,0
  5-6,75.12,0,0,0,0,0,0,0,0
  7-9,4.75,3.56,12.63,112.53,5.66,0,29.88,0,3.79
 10-12,0,0,0,59.46,0,0,17.67,0,0
 96-106,0,0,0,0,0,1.19,0,0,0
108-118,0,0,0,0,0,0.63,0,0,0
