stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0
  5-6,6.56,82.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,3.91,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.84,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,14.73,0,0,0,0,0,0,0,0,1.16,6.43,0.6,0,0,0,10.5,0,4.39,99.33,0,0,0,0,5.74,0,0,0,0,0
 36-46,0,0,0,0,0,48.3,0,0,0,2.85,0,0,0,0,3.34,0,0,0,0.56,0.72,14.74,0,13.91,48.96,0,0,0,0,11.45,0,0,0,0,0
 48-58,0,0,0,0,0,427.46,0,0,0,4.53,0,0,0,0,10.47,0,1.39,0,1.47,3.93,47.7,2.65,2.53,105.41,0,0,0,0,8.4,0,0,0,0,0
 60-70,0,0,0,0,0,1618.53,0,0,0,4.48,0,0,0,0,14.79,0,1.97,1.02,2.24,1.34,103.86,0,6.94,146.43,0,0,9.43,0,11.69,0,0,0,0,0
 72-82,0,0,0,8.59,7.35,2486.8,0,0,7.55,9.38,1.48,1.2,0,0,46.95,0,28.99,0,0.89,3.11,159.93,0,9.45,419.65,0,1.03,5.21,0,28.22,0,0.52,7.47,0.59,0
 84-94,0,0,2.24,5.67,0.66,2231.1,0,2.88,0,17.99,2.69,0,0,0,29.92,1.67,29.02,0,1.03,2.5,76.64,0.62,0,431.7,0,0,4.53,0.64,8.72,0,2.45,1,0,4.35
 96-106,0,0,0,2.13,6.37,2070.12,2.26,0.84,5.41,27.52,0.76,0.57,0,0.66,76.44,12.97,13.35,0,2.61,0.75,154.1,0,19.83,684.8,0,0,11.42,0,6.74,0,2.79,3.37,0,7.15
108-118,3.95,0,4.9,8.54,2.02,1705.96,0.52,0,2.73,18.26,0,0.87,0,0,44.41,0.97,24.99,0.51,1.48,0,201,0,10.74,521.81,0,0,17.66,0.87,2.24,0.68,0,3.88,0,0.87
120,0,0,0,17.56,0,2214.12,0,0,0,13.29,0,4.25,2.21,0,30.02,0,10.44,0,0,5.09,291.35,0,34.68,758.07,0,0,1.05,1.02,19.6,0,0,0,3.44,0
