stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.1,12.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,72.63,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0
  7-9,3.28,6.25,0,0,0,0,17.19,0,0,0,0,0,0,0,0,0,0,149.59,9.64,0,0,75.56,0,0,0,0,0,0,0
 10-12,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,79.9,9.53,0,0,55.72,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.95,0,0,0,0,0,1.14,0,0,0,0,0,4.15,1.63,0,0,0,0,1.46,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,1.93,11.96,0,0,0,0,0,14.1,5.28,0,1.65,0,0
 36-46,0,0,0,0.96,0.73,0,1.1,0,0,0,0,0,0,0,0,0,0,7.55,0,0,0,0,0,20.98,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.7,0,0.52,0,0.79,0,0,0.82,0,0,0.43,24.8,0,0,0,0,2.65,5.02,0.38,0,0,0,0.85
 60-70,0,0,0,0,0,0,10.62,0,0,0,0,0,0,4.15,0,0,0,16.78,0,0,0,0,0,4.74,0,0,0.59,0,0
 72-82,0,0,0,0,0,0,8.44,0,0,0,0,0.51,0.65,0,0,0.62,5.61,16.61,0,0,0.56,0,0.97,11.72,0,0,1.18,0.89,0
 84-94,0,0,0,0,0,0,3.04,1.38,0,0,0,0.86,0,3.16,0,0.57,0,6.54,0,0,0,0,3.63,19.53,2.73,0,0,1.73,0
 96-106,0,0,0,0,1.02,2.04,0,0,0,0,2.37,8.31,0,0.6,0,0.62,5.6,23.51,0,0.57,0.81,0,2.93,29.57,0,0,0,0,0
108-118,0,0,0,0,0,0,9.54,0,0,1.38,3.71,19.92,0,7.07,2.34,1.78,8.06,23.07,0,0,0,0,2.94,31.69,6.14,1.13,0.71,0,0
120,0,0,10.11,0,4.31,0,13.89,0,0,0,1.59,46.88,0,2.37,0,0,0,68.97,0,0,0,0,0,24.93,0,0,0,0,0
