stage,axial,blastomeres,eye,fin_mesenchyme,glial,gut,liver,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,51.98,406.04,0,0,0,0,0,0,0,0,12.25,0
  5-6,35.17,104.53,0,0,0,0,0,0,0,0,10.51,0
  7-9,0,0,0,0,0,0,0,0,42.08,12.67,0,0
 10-12,0,0,0,0,0,0,0,0,5.54,0,0,0
 14-21,0,0,0,0,0,0,0,0.95,9.98,0,0,2.52
 24-34,0,0,3.49,0,0,0,0,0,5.1,0,0,1.28
 36-46,0,0,0,0,0,0,0.62,0.86,10.08,0,0,0
 48-58,0,0,2.03,0,0.63,0,0,0,8.02,0,0,1.63
 60-70,0,0,0.81,0,0.61,0,1.06,0.63,6.11,0,0,0
 72-82,0,0,0.67,2.06,0,1.52,1.35,1.13,3.55,0,0,3.71
 84-94,0,0,0.6,0,0,0,0,1.75,1.81,0,0,0
 96-106,0,0,0,0,0,0,0.7,1.79,2.71,0,0.71,0
108-118,0,0,0.51,0,0,0,0,0,0,0,0.44,0
120,0,0,0,0,0,0,0,6.95,6.71,0,0,0
