stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.85,0,0,0
  5-6,11.63,76.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.46,0,0,0,4.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.29,0,0,0,7.54,0,0,0,0
 14-21,0,1.36,0,0.8,0.96,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0.88,0,0,1.07,0,0,0,0,0,1.05,0,0
 24-34,0,0,0,0,0.65,0,2.42,0,0.89,0,1.05,0,0,0,0,0,0,0,0.64,0,0,32.64,1.74,1.66,0,0,1.25,0.76,20.13,0
 36-46,0,0,0,0,0,0,3.89,0,2.39,0,1.91,0,0,0,0,0,0,0,0.8,0,0,76.41,0,2.52,0,0,3.51,2.02,29.57,0
 48-58,0,0,0,0,0,0,18.13,0,2.36,0,0.56,0,0,0,0,0,0,0,3.52,0,0,91.84,0,0.47,0,0,0,0,19.23,0.41
 60-70,0,0,0,0,0,0,36.98,0,1.57,0,0.64,4.11,0,0,0,0,0,0,3.82,0,0,88.6,0,0,0,0,0.61,1.17,31.55,5.04
 72-82,0,0,0,0,0,0,122.79,0,0,0.75,3.77,1.62,0.7,0,0,0,0,0,4.4,0,1.32,93.69,0,1.3,0.52,0,0,0,13.67,0
 84-94,0,0,0,0,0,0,60.13,0,0,0,3.44,1.27,0,0.97,0,0,0.66,0,1.07,0,0,89.64,0,4.11,1.86,0,1.03,0,11.62,0
 96-106,0,0,0,0,0,0,128.91,1.29,0,0,4.49,3.28,0,0,0,0.75,0,0,8.08,0,0,101.71,0,1.76,2.73,0,2.04,0,11.81,2.37
108-118,0,0,1.21,0,2.97,0,145.81,0,0,0,1.51,5.57,0,0,0.42,0,0,3.11,3.02,1.96,0.56,112.43,1.58,1.58,4.95,0,1.31,0,0,0
120,0,0,0,0,0,1.53,131,0,2.33,0,26,20.04,0,1.06,0,0,0,4.15,4.25,0,0,140.69,0,0,14.67,0,0,1.02,4.09,2.64
