stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,394.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.9,274.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,8.13,0,0,0,0,0,0
  7-9,6.88,30.25,27.45,0,0,87.53,0,0,0,0,13.43,0,0,0,0,0,0,0,0,0,451.08,24.66,0,0,180.26,15.59,0,0,0,0,0,0
 10-12,0,7.98,41.78,0,0,20.73,0,0,0,0,14.95,0,0,0,0,0,0,0,0,0,552.29,37.6,0,0,217.26,0,0,15.44,3.87,4.47,0,0
 14-21,0,0,1.03,10.6,1.9,0.81,0,0,0.82,1.07,0,0,0,0.81,0,0,0,4.35,0,0,39.12,0,0,0,0,0,13.18,0,4.23,13.78,0,1.14
 24-34,0,0,0.86,1.85,0,2.73,0,0,0,0,0,0,0,0,0,0.72,0,1.48,0,0,36.39,0,0,0,0,0,0,0,0.85,4.88,0,0
 36-46,0,0,0,0,0,1.5,0,0,3.3,0,0,0,0,0.56,0,0,0,0.56,0,0,44.7,0,2.58,0.71,0,1.66,0,0,0,2.08,0,0
 48-58,0,0,0,1.28,0.56,19.41,0.68,0,0.66,0,0,0,0,2.29,0,0,0,3.34,0.59,0,55.48,0,1.62,0.69,0,3.54,0,1.07,0,9.3,0,0
 60-70,0,0,0,0,0.76,4.68,0,3.17,0,0,0,0.58,0,0,0,0,0,1.82,0,0,14.58,0,0,0,0,8.2,0,0,0,0,0,0
 72-82,0,0,3.31,1.38,0,5.39,0,0,0,0,0,0,0,0.6,0,0,0,3.27,0,0,9.87,0,0.74,5.08,0,1.75,0,0,0,1.41,0,0
 84-94,0,0,0,0.82,0,6.02,0,1.63,0,0,0,0,0,0.79,0,0,0,1.73,0,0,11.35,0,1.95,0,0,2.08,0,0,0,0,1.53,0
 96-106,0,0,0,0,0,7.1,0,0,0,0.89,0,0,1.27,0.56,0,0,0,0,0,0,7.63,0,1.6,1.03,0,0.65,0,0,0,0,0,0
108-118,0,0,0,3.88,0,8.99,0,0,1.17,0.81,0,0,0,0,1.7,0.45,3.34,0.99,0,0.77,14.36,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.09,0,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.02,0,4.31,0,0,5.85,0,0,0,0,0,0
