stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,27.09,510.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.1,226.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.6,0,21.59,0,0,0,16.32,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,307.02,16.04,0,0,52.09,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.18,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.6,5.2,0,0,22.59,0,0,4.89,0,0,0,0,0,0
 14-21,0,0,0,0.87,5.53,1.69,0,7.39,0,0,2.86,0,2.04,1.52,0,0.86,0,0,0,0,0,0,1.44,63.74,0,0,0,0,1.04,1.76,0,0,0,8.1,0,0,0
 24-34,0,0,0.6,0,6.11,0,0,6.57,0,0.68,1.98,0,0,0,0,5,0,11.8,0,18.43,0,0,6.88,195.81,0,3.82,1.65,0,9.28,0,6.35,1.55,1.81,43.76,0,0,0
 36-46,0,0,0,0,9.47,0,0,25.07,0,0,4.03,0,0,0,0.57,0,0,0.8,0,10.7,0,0,2.59,334.59,0.57,2.69,0.6,0,17.15,0,5.91,0.74,0,70.3,0,0,0
 48-58,0,0,0.4,0,3.63,2.55,0,45.95,0,4.86,14.88,0,0,0,0.49,6.46,0,0,0.87,15.69,1.53,0,1.81,258.81,0.63,1.98,1.67,0,8.79,0,1.11,0,0,44.81,0,0,0
 60-70,0,0,0,0,7.61,0,0,160.14,2.54,0.76,27.37,0,0,0,0,0,0,5.03,0,16.14,1.46,0,2.38,258.46,0,1.43,0,0,2.66,0,1.75,0,0,37.74,0,0,0
 72-82,0,0,1.25,0,2.92,10.85,0,222.91,0,1.14,11.64,0,0.58,0,0,0,0,0,0,11.65,0,1.07,0.73,137.12,1.43,1.92,0.78,0,4.91,0,0,0,0,22.88,1.33,0.82,0
 84-94,0,0,0,0,4.18,17.41,0,217.93,0,0.89,20.12,5.5,0,0.85,1.16,2.23,0,0,0,20.76,0,1,1.26,187.13,0,0.86,0,0,9.83,0,0,0,0,3.77,2,0,1.33
 96-106,0,0,0,0,5.15,17.1,1.07,177.92,1.09,1.8,7.44,0,0,1.68,0.69,1.94,0,0.6,0,20.47,0,2.18,0,108.01,0,0.66,0,0,22.31,0,0,0,0,0,1.82,0,0.89
108-118,0,0,0,0,0.48,2.73,0,158.2,0.95,1.56,18.88,2.65,2.74,0,1.57,1.82,5.08,2.84,0,8.76,0,2.59,0.59,147.05,0,2.14,0,0,18.86,0,0,0,0,6.26,0,2.89,0
120,0,0,0,0,16.16,0,0,59.31,0,0,33.35,0,0,0,11.42,0,0,0,0,22.34,5.62,0,3.41,163.31,3.89,2.49,0,0,15.94,0,0,0,0,7.61,0,0,0
