stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,68.02,11.88,0,0,0,0,0,0,0,1.13,0,0.97,0,0,0,0,1.65,0,0,0,16.71,0,0,0,0,34.12,1.13,0,0,10.39,0,5.25,0,0
 24-34,41.33,2.18,0,2.49,3.44,0.64,0,0,0,2.95,0,0,0,0,0,0,5.46,0,0,2.07,5.36,0.7,0,0.66,0,37.07,0,0,0.64,3.77,0,25.43,0,0
 36-46,65.39,0,0,0,2.06,0.82,0,0.56,0,0,0,0,0,0,0,0,15.72,0,0,1.67,24.22,0,2.88,0,0,13.45,0,0,0,12.73,0,22.52,0,0
 48-58,21.99,0,0,1.72,8.97,2.02,0.8,0,0.37,2.42,0.42,0.5,0,0,0,0,10.28,1.73,0,1.03,37.58,0.5,2.08,0,0,4.16,0,0,0,6.28,0,13.73,0,1.54
 60-70,9.61,0,0,8.5,4.71,7.22,0.89,0,0,3.59,0,0,0,0,0.69,0,41.87,0,2.57,1.28,59.95,0,0.88,0,0,9.77,0,3.18,0,19.71,0,13.81,0,0
 72-82,13.08,0,0,10.3,2.96,2.72,15.34,0.65,0,1.61,0,0,0,0,0,0,30.54,0,10.01,3.26,76.55,4.45,0.75,0,0.87,15.31,0,0,0,19.71,3.16,28.04,4.9,2.01
 84-94,38.02,0,0,13.52,11.19,1.83,5.45,0.67,0,0,0.71,2.8,0,1.71,0.57,9.73,56.73,0,5.62,5.01,56.9,0,0,0,0,39.71,0,0,0,7.32,0,9.07,6.27,3.19
 96-106,29.53,2.4,0,4.54,6.46,1.09,16.94,2.41,0,6.49,2.64,0.86,0,0,0,0,73.49,2.02,5.81,4.82,45.39,0,2.47,0.73,2.09,47.17,0,0,0,4.31,0,27.16,3.77,0
108-118,22.79,0.51,2.22,4.88,9.14,1.25,6.88,2.4,0,1.35,1.78,5.1,1.36,2.92,2.22,0,79.13,0,14.58,5.39,61.89,0.42,0.49,0,4.96,33.67,0,0,0,6.5,0.56,17.37,4.05,0
120,38.79,0,0,2.07,6.2,0,0,2.82,0,9.07,0,5.96,0,0,0,0,85.84,2.96,5.53,2.33,104.19,0,2.89,0,2.67,11.1,0,0,0,22.26,0,26,0,0
