stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,periderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,40.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,66.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.99,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.93,0,0,0,0,0
 14-21,0,0,5.39,0,2.1,0,0,1.71,0,0,0,0,0,0,0,0,3.64,1.39,0,1.01,3.72,2.32,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0.98,0.7,0,0,0,0
 36-46,0,0,4.94,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,2.47,0,0,1.1,0
 48-58,0,0,0,0,0.7,0,0,0,0,0,0,0,1.64,4.41,0,0,0,0.64,0,0,0,0.45,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,1.88,0,0,0,0
 72-82,0,0,0.57,0,1.27,0,0,0,23.38,0,1.9,0,0,0,0,4.39,0,4.42,0,0,0,0,0
 84-94,0,0,1.11,0.7,0,0,0.63,0,1.86,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0
 96-106,0,0,4.09,0,0,1.11,0.62,2.37,30.71,1.32,1.68,0.63,0,0,2.3,15.52,0,17,0,0,0,6.96,0
108-118,0,0,9.28,0,0.6,0,1.37,3.9,20.68,0,0.62,1.9,0,0.58,3.15,1.46,0,2.94,0,0,0,0,2.56
120,0,7.47,11.1,0,0,0,2.96,0,40.24,0,0,0,0,0,0,0,0,18.49,0,0,0,0,0
