stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.59,16.85,0,0,10.05,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.87,4.1,0,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.13,0.88,9.24,40.19,0,5.94,0,0,0,3.24,0,2.73,0,0,0,0,0,1.07,3.72,0,0,2.13,140.08,0,0,0,0,0,0,2.67,0,0,15.35,95.33,0,0,20.61,0,0
 24-34,0,0.81,0,3.42,0,0,10.31,0,0,0,6.04,0,8.23,0.67,2.72,0,3.05,0,0.62,11.75,0,0,5.84,195.5,0,10.14,0.63,0,0,2.89,0,2.66,0,0.98,78.54,0,0,68.59,0,0.93
 36-46,0,0,0,0.66,0,0,28.12,0,0,0.57,8.5,0.72,4.18,0,5.52,0,0.7,1.56,0,16.88,0,1.06,9.45,298.58,0,9.17,0.56,0,0,15.28,0,0,2.81,0,75.05,0,0,25.84,0,0
 48-58,0,0,0,9.16,0,0,96.37,0,0,0,54.31,0,9.69,8.54,0.4,0,1.44,0,0.71,37.11,0,0.89,2.49,353.3,0,2.54,0.46,0,0,6.67,0,0,0,0,72.23,0,0,31.97,0,5.77
 60-70,0,0,0,7.06,0.63,0,168.95,1.3,0,0.98,23.27,0,2.46,4.76,0.58,18.44,1.5,0,2.61,71.65,0,0,0,450.98,0.63,10.87,2.99,0,0,8.33,0,0,0,0,48.78,0.81,0,47.67,0.77,0.97
 72-82,0,0,0,4.51,2.57,0,162.4,0,1.9,4.27,33.36,0.86,11.53,17.62,0.61,3.91,4.95,0,0,68.75,0,0.93,4.7,361.76,0,8.24,10.47,0,1.03,6.49,0,0,0,0,21.79,1.34,0,51.04,1.25,3.17
 84-94,0,0,0,10.24,0,0,108.66,0,0,2.32,21.5,1.18,3.07,17.58,4.1,3.04,2.61,0,2.25,39.11,0,2.93,7.15,174.96,1.38,5.31,8.51,0,1.01,22.68,0,1.28,0,0,19.83,1.73,0,61.19,3.29,5.88
 96-106,0,0,0,9.74,8.97,1.14,119.24,0,1.49,1.88,15.08,1.56,3.81,9.63,1.69,2.22,14.61,0,0,38.65,0.78,1.64,0.97,213.1,0,7.85,0.79,0,0,32.21,0,0,0,0,9.66,9.72,0,82.54,0,6.25
108-118,0,0,0,23.89,9.35,0,127.99,0.46,1.02,0,39.37,0.42,6.94,9.92,9.51,4.48,6.78,2.07,0,31.37,0,3.81,3.58,271.09,0.5,8.09,0.57,0,2.11,18.27,0,0,0,0,19.5,8.68,2.68,57.7,0.68,15.83
120,0,1.37,0,20.79,1.81,0,86.34,0,4.94,0,109.03,13.56,2.87,55.9,7.53,1.11,6.25,0,1.61,57.32,0,14.96,7.83,362.85,5.26,26.34,8.94,0,0,19.53,0,1.75,0,0,7.12,3.65,0,70.03,4.27,0
