stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,0,195.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.99,229.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.83,7.17,0,0,15.47,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,11.4,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,50.5,16.04,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,31.96,0,1.74,0.94,0,0,1.13,0,11.19,0,0,0
 24-34,0,0,0,1.1,0,5.78,0,0.59,0,3.74,0,0,0,0.69,0,0,0,0,0,0,161.29,0,3.21,0,0,0,0,0,62.55,0,0,0
 36-46,0,0,0,0,0,48.09,0,0,0,6.66,0,0,0,0.61,0,0,0,2.76,0,2.22,552.4,0,2.51,1.27,0,0,0,0,99.71,0,0,0
 48-58,0,0,0,2.4,0,269.85,0,1.45,0,20.31,0,0,0,0,0,0,0,1.12,0,0,742.86,0,2.56,0.5,0,1.05,0,0,184.48,0,0,0.63
 60-70,0,0,0.65,1.64,0,910.31,3.1,0,0,31.17,0,0,0,2.54,12.03,1.16,7.26,16.44,0,0,707.21,0,0.96,0,0,0,0,0,208.89,1.22,0,0
 72-82,0,0,0.64,1.56,0,669.28,0,0,0,42.43,0,0,0.49,0,0,0,0,2.01,0,0,614.07,0,10.34,0,0,0,0,0,94.22,0,0,0
 84-94,0,0,0,0.76,0,424.83,0,0,1.13,38.77,0.62,0,0,1.82,0,0.69,0,1.14,0,0,466.2,0,3.11,2.17,0,0,0,0,78.35,0,0.91,0
 96-106,0,0,0,1.89,0.67,271.49,0,0.62,1.86,18.39,0,0,0.75,1.43,0,0,9.42,2.67,3.13,1.2,301.82,0,1.72,3,0,0,0,0,15.51,1.69,0,0.85
108-118,0,0,0.71,7.93,0,260.4,0,0,0,50.72,0,0,0,0.42,0,0.43,0,4.12,0,0,338.03,0,1.7,0,0,0.93,0,0,16.34,0,0,0
120,0,0,4.41,0,0,160.61,0,0,3.09,80.68,0,0,0,0,0,1.88,0,8.42,0,0,375.22,0,0,0,0,0,0,1.13,10.04,0,0,0
