stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,234.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47,0,0,0,0,0,8.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0
 14-21,0,0,0.89,1.16,0.92,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,16.58,4.99,0,0,0,0,0,0.92,0,13.84,0.91,7.06,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.06,0,1.23,0.67,0,0,0,0,0,0,0.65,8.17,0,0,12.57,96.48,0,29.73,0,0,0.68,0,0,0.83,7.33,1.48,14.84,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.59,0,0.62,4,0,0,0,0,0,0,0,2.71,0,0,0.69,161.19,0,20,0,0,0,0,0,0,0,0,26.35,0,0,0,0,0
 48-58,0,0,0,0.82,0,0,13.79,0,0,6.72,0,0,0,0,0.39,0,0,3.53,0,0,0,242.97,0,17,0.5,0,0.43,0,0,0.49,0,0,47.32,0,0,0.49,0,2.12
 60-70,0,0,0,1.84,0,0,34.18,0.68,0,8.81,0,0,0,0,0.82,0,0,4.89,0,0,0.88,495.55,0,22.47,0,0,2.29,0,0,0,0,0,42.44,0,0,0,0,0
 72-82,0,0,0,7.93,0.7,0,164.13,0,1.19,42.48,2.54,0,0.61,0,0,0,0,22.77,0.88,0,0,1010.37,0,46.32,1.07,0,1.47,0,0,0,3.45,0,96.67,0,0.56,2.23,3.97,3.54
 84-94,0,1.18,0,4.51,1.25,0,137.26,0,0,38.4,1.25,0,0,0,7.9,0.66,0,5.02,0.76,5.31,0,809.5,0,29.49,1.36,0,1.84,0,0,0,0,0,77.9,4.99,0,0,0,0
 96-106,0,0,0,9.23,4.14,0,161.64,0,1.54,48.22,0,0,1.04,0,4.68,0,0,25.98,0,1.32,0.78,856.77,2.07,85.72,0.57,2.39,9.9,0,0,0,0,0,42.4,2.04,1.74,0,2.28,0
108-118,0,2.55,0,4.46,1.26,0.55,232.25,0,0.65,59.99,1.64,0.89,0,0,16.65,0,1.37,18.7,0,0,0.92,1389.55,0.54,56.33,2.92,0,1.71,0,0,0,0,0,42.95,0,0.57,0,0,0
120,0,0,0,2.88,2.76,0,114.48,0,0,58.61,2.12,1.54,1.91,1.63,9.63,1.07,0,8.86,0,0,2.09,1567.17,0,38.56,0,0,2.32,0,0,1.87,0,0,18.1,0,0,2.09,0,9.68
