stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,35.38,404.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.04,355.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.5,12.36,0,0,55.48,0,0,0,0,8.97,0,0,0,0,0,0,0,0,0,358.3,11.81,0,0,129.04,0,0,6.94,0,0,0,0,0,0,0
 10-12,0,19.06,58.85,0,0,55.21,0,0,0,0,12.46,0,0,0,0,0,0,0,0,0,545.7,4.6,0,0,231.63,0,0,0,10.38,47.67,0,0,0,0,0
 14-21,0,0,2.63,4.55,5.28,4.91,0,0,18.38,3.11,0,0,0,0,0,0,0,12.66,0,8.36,183.02,0.85,0.94,1.65,4.78,0,0,0,7.39,3.25,6.56,67.66,0,0,0
 24-34,0,0,0.6,4.48,0,40.22,0,0,8.73,0,0,0,0,0.7,0,0.69,1.75,22.9,0,1.3,356.52,0,1.57,3.97,0,0,3.17,0,0.97,0,0,82.35,8.35,0,0.86
 36-46,0,0,0,0.55,0,80.14,0,0,5.45,0,0,0,0,0,0,0,0,24.8,1.94,9.41,244.53,0,3.63,0,0,0,0,0,0,1.06,0,71.79,0,0,0
 48-58,0,0,0,3.1,0,90.78,0,0,19.91,0,0,0,0,0,0,0,0,18.3,0.42,6.42,128.27,0,4.85,1.52,0,0,1.57,0,0,0,0,19.87,0,0,0.59
 60-70,0,0,0,1.07,1.34,77.18,0,0,14.19,0,0,0,0,0,0.84,0,0,9.8,0,0.67,71.75,1.83,0.89,0,0,0,0,0,0,0,0,2.44,1.59,0,0
 72-82,0,0,0,4.48,1.08,26.38,0,0.68,8.86,0,0,0,0,0,0,0,0,10.49,0,2.85,46.27,0,9.43,2.36,0,0,0,0,0,0,0,12.45,0.74,0.58,4.97
 84-94,0,0,0,2.69,2.57,32.96,1.42,0.69,9.54,0,0,1.25,0,0,3.53,0,0,7.24,2.07,4.16,44.15,0,4.75,1.29,0,0,0,0,0,0,0,3.89,1.82,0,4.31
 96-106,0,0,0,0,4.1,25.05,8.82,0,3.42,0,0,0.6,0,0,0,0,0,9.56,0,2.82,28.28,0,10.33,3.94,0,1.47,2.15,0,0,0,0,0,1.07,0,0
108-118,0,0,0,0.5,1.91,26.47,1.62,0,6.35,2.43,0,0.88,0.81,0,0,0,0,13.63,0.72,0,45.47,0,7.17,1.18,0,0,0.49,0,0,0.87,0,4.28,5.38,0,7.06
120,0,0,0,0,0,15.47,0,0,8.34,6.22,0,0,0,1.74,0,0,0,5.78,0,0,33.1,0,6.87,0,0,0,0,0,0,0,0,3.5,2.58,0,0
