stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,611.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.02,0,0,0,0,0,0,0,0,0,0
  5-6,0,149.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.2,0,0,0,18.89,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,92,0,0,0,12.83,0,0,5.15,0,0,0,0,0,0,0,0,0
 10-12,0,17.42,0,56.66,0,4.67,0,60.52,0,0,0,0,0,30.23,0,0,0,0,0,0,0,0,0,0,500.15,3.99,0,0,117.51,0,0,0,0,48,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,184.59,13.85,0,8.28,0,0,0,1.98,1.03,5.69,0,0,0,0,0,0,0,13.03,0,10.73,366.81,11.99,0.87,1.5,3.49,0,17.4,0,24.68,3.16,10.84,81.31,0,0,2.4,0,0
 24-34,0,0,0,0,25,0.87,0,46.57,0,1.37,0,16.57,9.68,0.67,0,0,0,0,0.63,0.61,0,55.61,2.42,27.39,3198.34,3.43,3.82,4.42,0,0,15.55,0,0,7.26,4.88,190.57,0,0,13.17,0,2.91
 36-46,0,0,0,0.63,10.04,0.56,0,139.76,0,0,0,141.96,14.27,0,0,0.89,3.84,0,2.07,5.82,0,88.87,0,8.14,6063.68,4.26,8.86,4.06,0,0,17.17,0,0,0.62,0,303.59,0,0,22.6,0,0
 48-58,0,0,0,0,14.4,0,0,189.24,0,0,6.4,253.85,2.72,0,0.95,0,2.71,0,1.01,8.68,7.24,84.23,2.69,16.49,3513.11,0.39,3.22,1.77,0,0.39,3.58,0,0,0,0,155.95,0,0,4.66,0,4.8
 60-70,0,0,0,0,10.81,0,0,211.59,5.74,0,7.34,179.4,2.85,0,1.7,7.91,0,1.14,1.81,10.32,0,98.44,8.19,4.97,2516.54,8.75,8.72,0,0,0,7.73,0,0,0,0,123.59,0,0,10.43,0,0.77
 72-82,0,0,0.58,0,19.24,0.78,0,151.03,0,0,5.6,115.09,1.47,0.65,2.33,0.67,1.16,0.64,0.64,5.32,0,73.36,1.04,8.05,1452.69,0,7.23,2.78,0,0,3.37,0,0,0,0,68.96,0,1.01,2.86,0,0
 84-94,0,0,0,0,18.78,0.75,0,119.77,0.56,2.4,2.71,97.28,0.64,0,2.93,0.57,1.74,1.43,0,0,0,72.55,1.4,7.61,1141.22,0,8.77,6.7,0,0,2.33,0,0,0.93,0,40.47,0,0,6.12,0,0
 96-106,0,0,0.95,0,14.26,2.46,0.59,64.15,0,0,4.25,90.01,5.03,0,0,2.13,0,0,0,0,0,74.09,0.85,5.94,886.85,0,9.36,9.24,0,0,1.99,0,0,3.83,0,26.08,2.04,0,3.13,1.85,13.08
108-118,0,0,0,0,23.26,0.42,0,92.31,0.77,1.55,9.34,93.13,12.78,0,0,1.88,1.25,2.27,0,1.13,0,60.99,1.31,8.78,1237.66,1.01,17.26,4.63,0,0,2.69,0,0,0.76,0,16.55,0,0,2.8,3.98,0
120,1.19,0,0,0,34.86,0,0,156.34,0,1.21,13.44,144.86,4.16,0,5.08,6.27,1.4,0,0,0,0,53.69,3.51,14.32,1020.42,0,18.21,2.52,0,0,0,0,0,0,0,27.67,0,0,2.3,0,0
