stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,20.88,378.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.08,0,0,0,0,0,0,0
  5-6,24.05,317.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,0,0,0,8.03,0,0,0,0,0,0,0,0
  7-9,0,22.32,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.04,0,0,0,28.7,3.78,8.66,0,0,0,0,0,0
 10-12,0,9.13,0,29.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.94,0,0,0,9.16,0,3.03,0,0,0,0,0,0
 14-21,0,0,0,1.09,2.7,3.57,5.17,0,0,0,2.04,0,1.9,0,0,0,0,3.18,2.97,17.45,1.71,0,0,1.85,1.66,7.23,0.9,1.66,3.85,1.02,0,0
 24-34,0,0,0,0,1.29,0,3.69,0,0.61,0,0.67,0.6,0,0,3.21,0,0,5.27,6.79,25.14,0.77,0,1.36,0,3.58,0.98,0,0,0,4.38,0,6.93
 36-46,0,0,0,0.58,0.76,0,2.37,0,0,0,1.55,0,0,0.87,0,1.15,0,5.52,0.56,3.58,0,0,0,0,1.32,1.69,0,0,0,3.09,0,0.76
 48-58,0,0,0,0,2.57,0,0.95,0.45,0,0.62,0,0,0.37,0,0,0,0,8.93,0.45,4.22,0,0,0,0,1.15,0,0,0.4,0,0,0,0
 60-70,0,0,0,0,2.88,0,0,0,6.29,0,0,0,0,0,0,0,0,1.78,0,22.36,0,0,0.87,0,5.1,0,0,0,0,1.06,0,0
 72-82,0,0,0,0,0,0,1.31,0,3.94,5.52,0.7,0,0.53,2.12,0,0.61,0,20.21,2.02,10.66,0,0.55,0,0,0,0.56,0,0,0,3,0,0
 84-94,0,0,0,0,0.69,0.93,3.86,0,0,2.94,2.23,0,2.61,2.86,0.67,0,0.57,10.37,3.23,8.29,0.63,1.37,5.1,0,0,0,0,0.69,0,0,0,0
 96-106,0,0,0.88,0,1.2,0.95,3.09,0,5.66,2.34,0.79,0.99,1,1.4,0,0,0.97,12.43,0.79,27.61,0,0,4.82,0,3.14,0.93,0,0,0,0,0,0.7
108-118,0,0,0,0,1.44,0,4.06,0,6.24,7.53,1.14,0,2.13,7.47,1.08,0.69,0,25.6,4.12,38.61,0,0,3.24,0,1.12,0,0,0,0,4.24,0.68,1.99
120,0,0,0,1.28,1.41,0,16.6,0,7.91,5.8,0,0,5.99,5.52,0,0,0,33.36,5.74,128.25,0,7.65,0,0,3.5,0,0,0,0,1.64,0,3.67
