stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,74.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.36,0,0,0,0,0,0,0,0,0
  5-6,80.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,179.43,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.25,3.7,0,0,0,34.04,0,0,0,0,0,0,0,0,0
 10-12,6.49,16.59,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.01,0,0,0,13.83,3.1,0,0,0,0,0,0,0,0,0
 14-21,0,0,10.5,0.88,0,4.4,0,0,0,8.59,0,2.44,0,0,0,0,0,0,0,2.12,2556.73,0,0,0.88,0.96,2.02,12.33,0,0,0.94,210.24,0,0,2.1,0
 24-34,0,0,10.52,0.66,0,32.08,0,0,1.89,7.44,0,0,0,0,0,0,0,3.45,0,0,2389.32,0,0.81,3.36,0,0.87,0,0.66,0.93,0,414.24,0,0,16.68,0
 36-46,0,0,0,0,0,13.92,0,0,0,57.06,0,0,0.57,0,0,0,0,4.29,0,0,1057.65,0,0,0,0,7.69,0,0,0,0,483.74,0,0,12.14,0
 48-58,0,0,0,0,0,14.24,0,0,0,75.93,0,0,0,0,0,0,0,1.15,0,0,178.15,0,0,0,0,0,0,0,0,0,194.42,0,0,7.05,0
 60-70,0,0,0,0,0,3.19,0,0,0,461.34,0,0.59,0,0,0,0,0,6.63,0,0,28.85,0,0,0,0,0,0,0,0,0,27.33,0,0,0,0
 72-82,0,0,0,0,0,9.61,0,0,0,916.89,0,0,10.52,0,0.65,0,0,2.69,0,4.45,20.91,0,0,0,0,1.94,0,0,0,0,13.89,0,1.62,0.8,2.52
 84-94,0,0,14.35,0,0,32.02,0,0,0,991.51,0,2.23,0,0.6,0,0,0,37.49,0,0,30.04,0,0,0,0,0,0,0,0,0,10.28,0,1.47,0,0
 96-106,0,0,14.63,0.98,0,128.71,0,16.33,0,972.35,5.03,0,7.82,0.86,0,0,0,17.84,1.06,0.79,37,0,0,0,0,5.48,0,0,0,0,0,0,0,4.68,0
108-118,0,0,1.3,8.54,7.45,51.34,0.42,0,0,2373.57,0,0,0.69,0,0,2.28,4.51,28.69,2.4,1.21,96.03,0,0,1.26,0,6.16,0,0,0,0,0,0,0,0,1.28
120,0,0,3.37,1.53,0,145.61,0,0,1.66,3628.93,0,0,0,4.02,0,0,0,14.69,0,0,40.83,0,0,0,0,0,0,0,0,0,1.95,2.39,0,4.37,0
