stage,blastomeres,endoderm,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,neural,notochord,periderm,spinal_cord
  3-4,38.61,0,0,0,0,0,0,0,0,0,0,25.43,0
  5-6,35.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.5,0,15.47,0,0,0,0,0,27.39,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,13.14,0,0,0
 14-21,0,0,1.17,0,0,0,0,0.8,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,5.73,0,0.8,0
 36-46,0,0,0,0.7,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.85,3.52,0,0,0,0,5.05,0,0,0.87
 60-70,0,0,0,0,0,0,0,0,0,2.88,0.93,0,0
 72-82,0,0,0,1.42,0,0,0,0,0,2.95,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,5.74,0,0,0
120,0,0,0,0,0,7.45,6.68,0,8.88,5.83,0,0,0
