stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61,0,0,0,8.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,75.06,8.17,0,3.12,0,0,0,1.26,0,0,2.5,0,0,0,0,0,0,6.59,0,0,2.21,26.91,0,2.63,2.43,0,0,0,0,2.94,0,10.68,0,0,1.07,0,2.71
 24-34,0,0,0,68.53,4.55,0,41.42,0,4.81,0,4.44,0.67,0,0,3.62,0,0,7.24,0,0,18.34,1.6,0,0,292.41,0,28.94,3.12,0,0,2.45,0,1.13,0,11.93,0,0,13.96,0,13.3
 36-46,0,0,0,44.68,2.94,0,65.58,0,6.43,0,11.88,2.03,0,1.78,2.71,0,0,2.51,0,0,10.15,0.59,13.45,2.98,343.73,0,31.08,10.12,0,0,0.58,0,0.58,9.46,16.76,0,0,7.28,1.55,0
 48-58,0,0,0,39.62,4.46,0,192.96,0,10.1,3.22,23.54,0,0,0.65,8.42,0,0,2.12,0,0,30.35,0,24.42,3.46,386.89,0.38,18.33,9.53,0,0,16.96,0,0,4.23,16.66,0,4,8.82,1.78,3.11
 60-70,0,0,0.85,25.01,8.93,0,1176.42,0,7.86,0,15.34,0,0,0,21.72,0,0.85,3.38,0,0,102.2,0,56.54,4.34,479.07,0,26.13,4.22,0,9.85,9.78,0,0.58,2.73,95.54,2.28,28.13,11.37,4.49,2.18
 72-82,0,0,0,48.31,28.47,0,3475.44,0,8.04,4.53,75.83,1.66,1.51,4.76,111.02,1.69,7.64,7.83,3.1,0,99.46,0.61,91.01,4.15,725.28,0.73,38.03,1.73,0,37.52,2.6,0,0,0.54,69.97,40.82,44.57,27.28,44.17,7.96
 84-94,0,4.46,0,57.91,24.96,1.39,3598.95,0,4.7,1.17,46.69,6.94,1.22,0,102.91,2.61,1.36,12.9,0,4.83,75.48,0.76,133.76,3.79,555.25,0,41.66,5.15,0,15.7,8.26,1.4,4.76,1.89,72.13,128.81,49.49,14.38,42.69,0
 96-106,0,3.03,0,75.47,79.14,3.75,5776.07,3.71,7.06,0,114.61,3.96,0,2.29,211.93,3.27,9.35,8.8,17.26,0,111.88,1.89,188.47,37.76,613.26,7.2,59.44,6.15,0,70.21,18.28,2.06,2.44,3.33,78.99,150.83,67.5,33.92,37.12,16.29
108-118,3.95,1.5,0.6,66.08,15.46,1.7,6434.5,0,5.81,5.94,104.16,10.68,0,0.99,244.74,4.27,7.74,11.47,5.58,4.49,85.64,2.02,126.8,5.89,1067.82,1.81,61.89,9.2,0,44.57,10.75,0,0.42,0,81.44,159.1,19.75,21.88,30.33,2.14
120,0,0,0,104.75,62.41,0,7579.6,2.52,12.35,4.21,63.16,10.07,0,4.83,313.9,10.08,8.18,3.27,0,0,93.98,0,133.99,3.86,1578.02,2.35,77.5,23.25,0,56.01,17.72,0,0,0,70.51,103.97,62.15,39.92,33.17,0
