stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,25.07,113.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.36,0,0,0,0,0,0,0
  5-6,13.59,651.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.78,0,0,0,0,15.76,0,0,0,0,0,0,0
  7-9,39.5,25.29,0,26.33,0,0,181.21,0,0,0,0,67.79,0,0,0,0,0,0,1302.96,39.6,0,0,446.43,10.17,10.61,0,0,0,0,0,0
 10-12,0,159.3,0,124.89,0,8.31,193.79,0,0,0,0,54.1,0,0,0,5.32,0,0,3740.46,119.44,0,0,609.74,3.07,0,9.21,98.17,5.05,0,0,0
 14-21,0,0,0,0,14.07,1.57,26.28,0,0,1.38,35.19,0,0,0,0,0,9.04,1.52,2533.46,26.37,0,0,0.84,0,0,2.57,0,0,49.5,0,0
 24-34,0,0,0.8,0,5.48,0,44.08,0,0,27.19,1.34,0,0,0,0,0,1.22,1.01,546.51,4.15,0,0,0,0,0,0,0.69,1.59,12.67,0,0
 36-46,0,0,0,0,1.27,0,30.2,0,0,66.24,0,0,0,0,0,0,0.99,0,175.66,0,0,0,0,0,0,0,0,0,4.13,0.69,0
 48-58,0,0,0,0,0.44,0,59.34,0,2.21,30.71,0,0,0,0.38,0,0,4.71,0.37,93.93,0,0.89,0.78,0,0,0,0,0,0,4.93,0,0
 60-70,0,0,0.86,0,0,0,37.44,1.49,4.18,49.7,0,0,0,0,0,0,20.56,0.68,97.95,0,0,0,0,0,0,0,0,0,3.43,0,0.69
 72-82,0,0,0,0,3.54,0,55.31,0,1.88,68.59,1.9,0,0,0,0,0,33.09,0,135.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,5.13,0,4.4,0,35.8,0,2.92,50.27,1.89,0,0,1.29,1.57,0,43.86,0,101.58,0,0,1.2,0,0,0,0,0,0,2.91,0,0.69
 96-106,0,0,1.43,0,7.64,0,70.43,0,7.96,54.07,0,0,0,0,0,0,33.68,0,81.67,0,0,0.94,0,0,0,0,0,0,6.1,1.82,0
108-118,0,0,1.18,0,17.65,0,51.8,0,5.59,48.8,0,0,1.74,0,0,0,58.36,0,85.98,0,1.52,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,5.84,0,37.69,0,8.58,62.71,1.25,0,0,0,0,0,54.63,0,126.24,0,0,1.43,0,0,0,0,0,0,0,0,0
