stage,axial,blastomeres,endoderm,epidermis,eye,gut,ionocyte,lateral_line,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,11.92,50.07,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,101.14,0,0,0,0,0,0,0,9.69,0,9.65,0,0,0
  7-9,0,0,0,0,8.59,0,0,0,0,19.48,4.69,35.93,0,0,0
 10-12,0,8.15,3.47,0,0,0,0,0,0,290.3,0,36.92,0,4.35,0
 14-21,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.92,0,0,0,0,0.95
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0
 48-58,0,0,0,0,0,0,0,0,0,2.33,0,0,0.99,4,0.74
 60-70,0,0,0,0.57,0,0,0,0,0.59,0,0,0,4.71,0,0
 72-82,0,0,0,0,0,0,0,0,1.23,1.48,0,0,2.19,0,0
 84-94,0,0,0,0,0,0.57,1.16,0,0,3.32,0,0,4.1,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,12.03,0,0
108-118,0,0,0,2.17,0,0,0,0,0,0,0,0,2.09,0,0
120,0,0,0,8.26,0,0,0,5.32,0,9.58,0,0,0,0,0
