stage,blastomeres,erythrocytes,eye,glial,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,5.38,0,10.54,0,0,0,27.78,0,11.5,0,0,0
 10-12,0,0,0,0,0,0,4.8,0,0,0,0,0
 14-21,0,4.65,0,0,0,2.69,1.96,0,0,0,0,0
 24-34,0,0.74,0,0,0,0,6.28,0,0,0,0,0
 36-46,0,1.98,0,0,0,0,4.68,0,0,0,0,0
 48-58,0,0.4,0,0,0,0,0,0,0,0,1.25,0
 60-70,0,1.91,0,3.23,0,0,17.02,0,0,0,0,0
 72-82,0,62.99,4.47,0,0.78,0,23.77,0,0,0,0,0
 84-94,0,31.29,0,0.75,3.95,0,23.96,0.82,0,0,0,6.17
 96-106,0,94.54,0,0,1.84,0,15.16,0,0,2.44,0,0
108-118,0,28.32,0,0,0,0,16.5,0,0,0,0,0
120,0,34.96,0,19.76,0,0,8.92,0,0,0,0,0
