stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,11.46,147,36.96,0,115.21,0,0.91,0,13.42,6.61,3.8,0,0,3.98,0,0,0,0,96.11,0,0,71.57,1332.83,52.95,0.96,6.44,25.78,0,83.06,149.7,4.61,5.68,69.22,342.12,0,0,1.07,0
 24-34,0,4.74,48.98,11.78,0,308.39,0,0,0.72,29.26,5.09,0,3.6,0,2.57,0.64,1.45,2.33,0,192.47,0,0,62.93,2284.12,9.5,11.93,22.4,0,0,46.01,0,0.93,0,9.09,492.42,0,0,30.64,1.3
 36-46,0,0,37.41,9.9,0,669.41,0,1.24,0,39.5,2.66,0,2.76,1.78,5.86,6.93,0,2.4,0,120.65,0,0.68,41.15,1565.14,2.34,6.81,7.23,0,0,19.62,1.39,0,0,1.09,281.78,0,1.37,14.07,10
 48-58,0,0,29.61,9.62,0,702.38,0.66,9.84,0.96,75.43,0,0,1.15,3.24,0.92,0.55,0.48,0.39,0,121.77,0,10.41,17.75,864.15,0.56,1.91,2.9,0,0.56,4.56,0,1.06,0,0,114.6,0,0,12.18,0
 60-70,0.81,0,21.25,6.02,0,608.75,0,0,1.45,66.2,2.48,0,0,4.92,0,4.45,11.4,1.35,0,136.58,1.53,10.93,17.31,542.82,0,1.22,4.96,0,0,10.74,0,0,0,0,16.81,0,0,3.19,0
 72-82,0,0,16.77,3.15,0,161.53,1.21,0,2.53,36.24,4.29,0,5.42,0.53,0.7,0,0,1.36,4.38,95.1,0,0.87,6.15,204.3,1.8,4.63,4.72,0,0,0,0,0,0,0,5.78,1.44,1.01,8.17,1.1
 84-94,0,0,27.87,3.45,0,168.29,0,0.66,8.51,22.73,4.58,0,0.8,7.17,2.76,5.17,0,0.89,0,79.67,0,17.73,14.5,189.06,0.57,4.22,2.36,0,0,1.29,0,0.8,0,0,5.31,0,0,15.23,11.28
 96-106,0,0,3.83,1.18,1.14,83.66,0,0,0,23.61,2.75,0,0,1.93,0.66,0,0,1.3,0,36.07,0,3.9,8.42,120.25,0.57,0.69,1.31,0,0,2.58,0,0,0,0,2,1.17,0,4.32,0
108-118,0,0,10.09,3.5,0,125.28,0.67,0,1.53,29.72,6.18,0,0,4.26,0.64,0.44,2.58,1.98,0,37.03,0,5.25,7.31,186.7,0.67,2.17,1.6,0,0,2.03,0,0.42,2.42,0,2.69,0.51,0,4.61,0
120,0,0,4.35,24.09,0,192.54,0,0,0,57.15,1.32,0,0,13.28,0,0,1.13,1.45,0,43.83,0,4.43,5.27,292.11,0,3.36,3.28,0,0,1.43,0,0,2.07,0,0,0,2.35,4.63,0
