stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,78.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,20.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.74,0,147.42,0,43.14,0,0,0,0,0,0,8.15,0,0,0,0,0,0,0,0,0,0,359.93,13.08,0,0,46.93,0,0,3.78,0,23.21,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.03,1258.39,78.65,11.92,0,77.18,0,7.99,6.16,13.87,15.72,0,0,0,0,4.19,314.52,0,0,64.03,126.69,7.6,1.93,0,2.27,0,38.47,0,0.87,0,0,6.07,20.93,0,0,4.52,0,0
 24-34,0.88,0,0,5.65,729.18,8.88,31.2,0,187.31,6.19,155.93,0,0,87.28,0,4.13,0,0,2.07,454.21,3.55,3.34,131.37,271.46,2.99,0,3.72,0,2.6,169.89,0,0,2.25,0,4.65,14.72,0,0,156.16,0,1
 36-46,0,0,0,0,281.82,4.26,50.56,0,117.85,19.18,116.56,1.54,0,76.24,0,0,0,0,0,523.09,2.17,65.61,133.34,309.88,1.34,3.34,7.09,0,10.11,113.83,0,0,0.72,0,0,20.8,0,5.92,174.86,0,0
 48-58,0,0,0,0,90.54,12.54,58.9,0,88.37,67.49,107.23,0,4.88,35.23,0,0.73,0,0,3.96,404.92,0,40.42,125.69,200.99,0,0.95,20.64,0,3.99,53.76,0,0,0,0,0,12.94,0,1.71,146.34,1.08,0
 60-70,0,0,0,0,37.76,3.58,33.36,0,53.82,64.33,76.26,0,0.66,66.02,0,5.62,3.78,0,0,483.92,0,31.73,126.74,227.46,0,0,22.58,0,8.43,6.81,0,0,0,1.91,0,17.9,0,6.38,152.94,12.43,0
 72-82,0,0,1.04,0,34.41,9.84,40.26,0.65,24.83,81.46,78.89,3.34,0,30.94,0.55,12.36,15.95,2.28,0,585.85,0,42.85,174.57,100.84,0,0,26.61,0,28.5,1.74,0,0,2,0.72,0,15.42,0,22.38,275.44,26.54,4.1
 84-94,0,0,0,0,56.4,7.12,57.4,0,36,89.2,74.81,0.59,1.62,55.34,0,3.92,5.29,1.5,0,527.19,0,65.55,86.04,84.35,4.85,0,44,0,4.19,6.18,0,0,0,0,0,14.03,0,19.1,263.05,57.93,0
 96-106,0,0,0,0,45.94,44.38,47.55,0,30.05,66.73,47.98,2.34,0,27.78,0.56,10.49,2.69,2.06,0,521.06,0.76,46.96,130.76,155.7,0,0,45.13,0,22.99,2.18,0,0,0,0,0,12.26,3.46,19.43,270.65,69.65,4.75
108-118,0,0,0,0,87,4.3,57.63,0,46.72,72.91,51.29,7.57,0,52.23,0,18.47,6.54,0,0,536.58,2.89,47.97,101.33,140.19,0,0,49.88,0,46.14,5.26,0,0,1.96,0,0,6.16,4.93,18.32,224.69,47,7.05
120,0,0,0,1.28,115.03,17.45,99.57,2.57,45.07,94.02,62.34,7.09,0,20.56,0,12.11,10.12,1.69,0,494.4,1.69,90.71,44.11,183.31,1.25,0,60.13,0,64.81,4.29,0,0,0,0,0,8.65,0,7.36,308.96,66.17,0
