stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,85.69,968.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.98,0,0,0,0,0,0,0,0,0,0
  5-6,28.57,520.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.05,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.6,0,0,0,5.9,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,83.27,14.13,0,0,23.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.89,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.92,7.65,0,0,60.54,0,0,13.3,0,0,0,0,0,0,0,0
 14-21,0,0,1.38,0.91,4.31,0,0,6.67,0,0,3.22,0,0,0,0,0,0,0,0,0,2.16,0,0,1.64,140.6,1.83,0,0.89,0.97,2.2,5.15,0,0,1.94,56.16,0,0,3.49,0,0
 24-34,0,0,1.21,0,1.84,0,0,27.32,0,0.63,10.87,0.59,0,1.18,0,1.26,0,0.71,0.77,0,10.02,1.02,0,2.7,409.37,0.63,13.7,3.34,0,9.6,0,0,0.62,3.34,92.83,0,0,2.57,0,0
 36-46,0,0,0,0,0.87,1.49,0,57.98,0,0,24.09,4.52,0,0,3.45,0.57,0,0.64,0,1.24,2.16,1.03,0,0.6,317.11,0.55,25.42,1.42,0,17.29,0,1.81,0,0,88.05,0,0,5.5,0,0
 48-58,0,0,0.54,0,11.86,1.09,0,325.39,1.55,0,66.7,0.98,0,0.42,0.37,0,0,0.51,0,0,6.67,1.56,6.68,2.37,344.38,0,26.29,3.49,0,2.26,0,0,1,0,118.67,0,0,6.37,0,3.29
 60-70,0,0,5.3,0,15.23,0.68,0,932.33,2.16,0,78.64,7.54,0,0,1,0.59,0,0.59,0,9.95,11.38,0,1.04,2.64,496.98,0.62,9.15,3.35,0,0.58,0,1.35,0.67,0,65.75,1.42,0,8.83,0,0
 72-82,0,0,2.75,0,15.8,9.78,0,878.07,0,1.23,96.26,5.55,0,0,13.18,1.18,4.36,3.51,1.54,0,28.22,1.52,0.94,3.05,467.51,0,8.31,11.39,0,0.58,0,0.97,0,0,69.25,1.4,0,10.81,0.52,0
 84-94,0,0,6,0,15.41,20.94,2.33,629.56,0,0,96.05,11.17,0,0.97,14.26,0.89,1.51,0.63,3.21,0.83,24.03,5.32,0,2.19,322.38,0,15.74,10.38,0,0,0,0.62,2.99,0,32.93,5.95,0,4.05,0,0
 96-106,0,0,7.49,0,3.49,8.41,0,544.28,0,0,129.57,8.41,0,0,19.84,1.57,2.23,0,11.61,0,25.11,4.93,2.4,0,278.52,0,16.11,10.71,0,12.32,0,0,0.77,0,10.21,8.79,0,4.32,2.09,0
108-118,0,0,2.24,0.74,12.83,5.95,4.57,558.56,1.3,0.86,148.46,10.11,0,0,37.63,3.29,1.81,2.83,7.65,0,18.54,0.53,0.51,3.3,414.91,0.5,13.3,5.12,0,0.51,0,0,2.29,0,47.74,10.93,1.37,16.67,0.65,0
120,0,0,0,0,42.4,9.5,0,285.8,6.95,0,121.48,10.37,0,0,38.29,2.56,0,4.08,3.92,0,28.36,0,2.13,2.75,529.41,0,17.04,22.14,0,0,0,6.17,0,0,17.78,11.41,0,15.76,3.15,0
