stage,eye,glial,lateral_line,liver,mesenchyme,mucous,neural,olfactory,periderm,vasculature
 10-12,0,0,0,0,0,0,3.47,0,0,0
 24-34,0,0,0,0,0.95,0,0.76,1.71,0,0
 60-70,0.7,0,0,0,0,0,2.85,0,0,0
 72-82,6.44,0,0,3.37,1.76,0,0,0,0,1.05
 84-94,2.53,0,0,6.33,0,0,3.11,0,0,0
 96-106,12.53,2.45,0,48.34,0,2.07,14.76,0,0,0
108-118,16.01,2.1,0.51,37.89,0,0,14.88,0,0.78,0
120,2.96,0,0,45.11,0,0,10.47,0,0,0
