stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,17.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,0,0,10.92,0,0,0,0,0,0,0,0,0,32.13,0,0,3.74,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,0,0,14.27,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0
 24-34,0,0,0.6,1.87,0,0,0,0,0,3.45,0,0,1.14,1.01,0,0,0,7.51,0,0.64,0
 36-46,0,0,0,4.48,0,1.15,0,0,0,0,0,0,0,18.74,0,0,0,13.71,0.91,0,0
 48-58,0,0,0,1.81,0,0,0,0,0,0,0,0,0.39,7.62,0,0,0,9.25,0,0,0
 60-70,0,0,0,4.32,0,0,0,2.88,0,0,0,0,0.65,3.36,0,0,0,7.93,0,0,0
 72-82,0,0,0,9.09,0,0,0.82,0,0,0,0,0,2.1,4.45,0,0,0,15.52,0,0,0
 84-94,0,0,0,0.79,0,0,0,0,0.64,0,0,0,0,0,0,1.27,0,25.34,0,0,0
 96-106,0,0,0.8,7.25,0.68,0,0,0,0.7,0,0.84,0,0,3.7,0.63,0.6,0,39.21,0,0,2.04
108-118,0,0,0.44,0,0,0,0,0,0.71,0,0.61,0,0,3.22,0,0.44,0,22.83,0,0,0
120,0,0,0,0,0,1.22,1.69,0,0,0,0,1.06,0,44.4,0,0,0,39.07,0,0,0
