stage,endocrine_pancreas,epidermis,eye,glial,gut,immune,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,29.55,0,0,65.27,0,0,0,0,0,0,0
 14-21,0,3.02,0,6.78,0,0,0,0,0,0,0,14.99,4.33,0,2.04,4.34,4.54,49.66,0,0,0,0
 24-34,0,0,0,22.7,0,0,0,0,0,0,0.67,29.08,7.62,0,0,0,3.03,136.65,0,0,0,0
 36-46,0,0,0,3.55,0,0,0,0,0,0,0,51.02,0,0,0,0,0,133.17,0,0.73,0,0
 48-58,0,0,4.91,10.53,0,0,0,0,1.47,0.49,0,36.87,0,1.14,0,0,0,137.22,0,0,0,0
 60-70,0,0,36.41,2.89,0,0,4.51,0.7,0,0,0,33.16,0,0,0,0,0,234.89,0,0,0,4.97
 72-82,0.62,2.16,13.16,31.25,2.26,8.34,0,0,0,0,0,67,3.31,0,0,0,0,186.64,2.43,0,0.61,0
 84-94,0,3.92,9.26,21.85,3.07,0,0,0,6.42,0,0,48.14,0,0,0,0,0,79.44,0,0,0,0
 96-106,0,0,9.5,10.05,0,0,0,0,0,0,0,14.23,0,0,0,0,0,23.9,0,0,0,0
108-118,0,2.22,0,20.14,0,0,0,0,0,0,0,39.88,0,0,0,0,0,43.34,0,0,0,0
120,0,0,0,42.29,0,0,0,0,0,0,0,45.02,0,0,0,0,0,58.46,0,0,0,0
