stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.38,0,0,0,0,0,0,0,0,15.98,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.67,0,12.44,0,0,105.38,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,849.78,59.86,0,0,22.06,0,0,5.47,5.64,6.86,0,0,0,0,0,0,0,0
 14-21,0,0,3.62,6,440.24,5.29,38.68,0,3.18,0,3.32,6.9,0,5.24,0,0,0,0,0,0,66.4,0,0,20.21,480.22,55.6,0,8.46,0,0,19.62,0,36.51,9.33,5.98,22.04,574.05,0,0,0,0,0
 24-34,0,0,0.75,2.18,270.7,1.5,34.3,0,13.07,0.69,116.08,0,0,0.86,0,1.3,0.7,0.68,0,0,1118.06,5.22,0,111.43,648.06,22.95,0,14.64,0,8.72,207.95,0,0,1.48,12.61,28.43,1319.27,0,0,13.31,0,0.93
 36-46,0,0,1.95,1.46,153.23,3.48,37.77,1.61,40.92,4.79,110.03,3.66,0,0.84,0,0.57,0,0,0,0,1080.3,3.86,9.55,100.1,486.69,17.07,0,4.99,0,0,413.67,0,11.89,1.56,0,1.34,869,0,22.87,17.23,0,9.4
 48-58,0,0,0,0.67,222.62,3.88,149.89,1.63,42.42,14.1,172.31,1.15,1.82,1.09,0,2.23,8.6,0,10.85,0,1559.48,6.98,62.53,115.65,835.98,30.46,2.44,19.16,0,0.4,194.78,0,0,0,0.95,0,1156.04,0,0.84,7.74,1.56,1.09
 60-70,0,0,0,0,233.66,6.83,102.45,5.69,69.98,17.98,211.96,6.96,0,0,9.84,0.58,1.16,0,9.54,0,1937.1,9.76,109.2,99.16,598,19.92,7.51,20.03,0,6.12,256.1,0,0,3.95,3.45,0,573.95,0,24.88,2.97,4.87,4.42
 72-82,0,0,1.69,0,109.19,8.64,104.72,2.83,37.58,30.78,218.29,39.97,0,1.54,0,0,0,0,1.6,0,2403.87,5.31,27.88,92.49,287.42,8.56,1.28,11.73,0,12.79,146.6,0,0,0.66,0,0,438.66,3.86,42.6,4.87,15.88,5.38
 84-94,5.55,0,5.05,0,157.06,0,133.82,0.56,46.07,22.89,190.38,78.37,0,0,2.42,9.65,1.35,0,3.21,0.6,2376.58,20.81,68.92,55.28,132.85,9,0,19.01,0,20.31,277.38,0,0,0,0,0,353.33,4.04,65.15,7.78,29.62,4.44
 96-106,0,0,0,0,115.42,0,109.91,0.97,25.9,19.51,122.85,37.96,2.38,10.64,0,0.63,3.69,0,1.14,0,1700.72,6.73,27.54,57.24,186.37,9.06,3.72,8.68,1.2,50.83,238.75,0,0,1.59,0,0,394.99,10.89,44.87,13.16,23.41,23.77
108-118,0,0,0,0,147.63,0,185.16,0,29.38,13.51,160.52,66.64,0,5.15,0.42,1.08,0,1.48,2.95,0.44,2401.13,30.07,84.12,53.78,185.22,16.84,1.61,15.52,0,47.31,194.66,0,0,2.04,0,0,322.33,26.46,65.7,3.42,16.05,1
120,0,0,3.73,0,296.77,15.06,249.92,1.18,59.91,23.32,236.97,96.35,0,25.21,3.46,2.26,0,1.69,7.72,0,3580.69,39.49,82.7,85.03,216.79,12.92,2.89,42.56,10.96,145.25,218.38,0,0,0,0,0,612.34,14.99,65.03,7.92,45.88,22.78
