stage,eye,glial,mesenchyme,muscle,neural,otic
 24-34,0,0,0.71,0,5.24,0
 36-46,0,0,0.9,0,0,0
 48-58,0,0,0.64,0,0.92,0
 60-70,1.02,0,0,0,7.41,0
 72-82,0,0,0,0.52,0,0
108-118,0,1.49,3.59,0,0,0.42
120,1.82,0,0,0,15.75,0
