stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.87,0.87,36.98,0,2.23,0,0,0,1.09,0,0,0.81,6.22,0,0,0,0,0,4.65,0,0,0,66.18,0,0,0.99,0.89,0,0,1.84,0,3.82,4.33,25.15,0,119.99,0,0
 24-34,0,1.05,1.44,26.3,0,5.63,0,0.7,0,1.89,1.74,0,13.17,78.47,0,0,0,4.01,1.9,9.77,0,0,1.59,184.16,5.32,0,4.88,0,0,0,0,7.14,0,0.84,20.22,0,1454.76,0,0
 36-46,0,0,0,39.44,0,18.75,0,0,0,3.69,0,0,0.67,67.59,0,0.57,0,0,0,2.66,0,0,1.02,132.77,4.4,0,0,0,0,2.7,0,3.01,0,0,7.78,0,1222.28,0,0
 48-58,0,0,3.03,0,0,39.5,0.41,0,2.5,1.7,0,0,7.49,159.94,5.04,0,0,0,0,4.36,0,0.51,2.31,119.4,4.93,0,0,0,0,0.98,0,0.9,0,0,9.4,0,934.16,0,8.93
 60-70,0,0,1.72,7.14,0,27.23,1.59,11.58,9.19,3.14,0,0,0.84,139.48,0,6.19,0,0,2.31,13.57,0,0.73,17.98,57.78,11.14,0,0,0,1.19,0,0,15.17,0,0,15.14,0.9,745.06,2.19,7.46
 72-82,0,0,1.83,16.03,0,46.42,0,0,0,12.04,1.76,0,6.97,261.11,0,1.38,0,0,0,39.92,0,7.51,4.25,74.24,0.88,0,1.54,0,0,7.64,0,7.09,0,0,12.02,35.78,1242.61,27.61,1.18
 84-94,0,0,0,4.25,0,30.33,0,7.43,0.85,1.64,0,0,15.78,333.62,0,0.75,0,0,0,20.64,3.24,20.14,0.76,115.72,9.05,0,0,0,0,0.56,0,0,0,0,0,7.43,1196.29,26.03,0
 96-106,0,0,4.05,18.1,0,37.94,0,1.8,4.72,20.26,0.56,0,5.79,355.29,0.58,2.75,1.67,0,0,48.61,0,6.76,0,132.21,2.84,3.9,1.42,0,10.66,5.17,0,22.74,0,0,2.54,4.39,1384.23,61.97,0
108-118,1.39,0,5.84,1.89,1,38.69,1.22,1.99,13.02,12.85,3.38,0,11.35,339.21,0,0,0.78,0.6,5.77,34.17,0,12.43,0,60.93,1.53,0.64,8,0,15.23,0.97,0,7.36,0,0,2.99,4.46,1540.99,37.78,2.22
120,0,0,10.64,13.1,0,81.42,0,7.39,0,4.02,15.94,10.41,34.14,1219.63,0,0,0,3.38,0,34.29,0,2.35,12.35,211.38,20.76,22.07,2.04,0,19.01,27.78,0,7.29,0,0,0,0,2978.59,82,0
