stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,91.93,1924.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.26,0,0,0,0,0,0,0,0,0,0
  5-6,118.86,1511.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.53,17.23,0,0,16.11,0,59.03,0,0,0,0,0,0,0,0,0,0
  7-9,8.54,0,0,3.45,0,0,0,3.28,0,0,0,0,19.32,0,0,0,0,0,0,0,0,0,0,0,230.59,0,0,0,92.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.28,0,0,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.69,11.5,0,0,27.01,0,0,0,11.84,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0.82,13.42,0.84,0,0,0,0,7.78,0.81,0,0,0,3.01,0,0,0,0,0
 24-34,0,0,0,0.76,1.67,0,0,5.83,0.94,0,3.49,0.71,0,0,1.94,9.39,0.7,0.78,1.3,5.59,3.63,2.63,0,0.97,18.13,0,0,0,0,0,54.14,0,1.25,0,0.82,6.79,0,0,4.89,0,4.75
 36-46,0,0,0,0,4.36,1.72,0,7.9,6.39,0.81,0,0,0,0,6.28,1.01,3.72,0,2.54,3.17,10.09,1.5,0,2.12,23.99,0,1.52,2.78,0,0,111.68,0,3.56,0,0,5.78,0,0,12.57,0,6.35
 48-58,0,0,0,0,2.2,0,0,4.42,2.97,0,4.91,0.76,4.69,0,10.95,0,0,0.44,3.29,5.01,6.92,0.5,0,1.84,4.41,0,0,0,0,0.4,43.54,0,5.13,0,0,0.96,0,0,8.4,0,0
 60-70,0,0,0,0,10.92,0,0,15.49,2.79,1.28,18.61,4.2,0,0,6.62,0,0,0,8.3,0,29.47,0,0,1.44,19.29,0,2.63,0,0,2.07,76.98,0,5.7,0,0,1.17,0,0,30.4,0,0
 72-82,0,0,0.69,0,1.65,1.84,0,9.19,0.53,5.55,7.19,2.81,0,0,4.63,1.13,0,0,2.14,0.49,17.14,4.42,0,1.34,25.47,0,0,0,0,0,37.42,0,7.29,0,0,1.29,0,1.02,11.3,1.09,1.3
 84-94,0,0,0.98,0,8.96,4.24,0,23.26,0.58,1.42,5.36,4.6,0,1.45,12.69,2.43,0,0,0,0,14.15,5.97,3.35,0.79,15.04,2.1,1.11,3.3,0,1.75,85.81,0,11.21,0,0,0,1.14,0,18.5,1.55,0
 96-106,0,0,0,0,8.89,18.22,0,9.94,0,0.81,8.17,8.84,0,0,11.17,3.14,0,0,0.86,0.67,28.21,2.46,0,2.06,25.03,0,0,0,0,4.36,84.29,0,2.54,0,0,6.17,0,0,6,0,6.83
108-118,0,0,3.31,0,25.72,8.34,4.27,13.86,3.76,0,8.38,12.63,0,0,11.41,3.18,1.16,2.36,2.29,0,35.22,4.95,0,0,18.44,4.16,3.9,1.04,0,1.19,73.08,0,2.19,0.66,0,0.7,1.77,0,18.25,0,2.52
120,0,0,0,0,51.19,1.12,3.04,35.49,1.05,0,31.76,96.6,0,0,54.47,6.59,0,0,4.54,0,26.07,15.77,4.22,0,59.16,0,5.25,4.9,0,0,96.14,0,8.05,0,0,7.07,3.15,0,20.66,0,0
