stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,19.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,4.86,0,0,0,0,0,0,7.48,0,0,0,0,0,0
 14-21,0,0,2.8,0,0,1.88,0,0,0,0,0.82,0,0,0,0,0,1.88,0,7.05,0,0,17.1,183.04,0,4.7,0,0,0,0,0,12.62,0,3442,266.75,14.17,0,0,0,0,0
 24-34,0,0,0,0,0,2.94,0.75,0,0,1.69,0,0.67,0,3.65,0,0.65,4.26,0,0,0,0,44.84,154.33,0.65,9.02,0,0,0,0.89,0,7.76,0,1199.18,25.77,31.84,0,0,1.04,0,0
 36-46,0,0,0,0,0,2.31,5.59,0,0,0.95,0,0,0,0,0,0,0,10.26,28.7,0,0.72,70.51,54.35,0.85,0,0,28.51,0,0.72,0,0,0,987.51,5.93,46.67,0,0,6.17,0,0
 48-58,0,0,18.93,0,0,16.43,165.44,0,0.51,7.29,0,0,0,0,0,0,0,8.76,153.36,0,0,154.56,89.64,0,1.82,0,0,0,0.8,0,0,0,648.93,0,17.85,0,0,1.95,0,1.45
 60-70,0,0,9.17,0.61,0,48.32,1169.18,0,0,2.26,0,0,0,14.23,0,0,0,8.14,700.35,0,0,339.45,208.35,0,0,0,1.62,4.31,7.42,0,0,2.56,411.35,0,16.2,0,0,1.74,0,18.53
 72-82,0,0,23.1,3.92,0,107.11,1213.37,8.06,0,34.86,1.23,0,0.54,0,0.75,0,7.74,4.09,813.13,1.48,6.14,318.8,143.51,0,2.24,0,3.38,0,12.51,0,0,0,282.65,0,13.42,26.92,4.19,0.53,3.81,4.71
 84-94,0,0,22.15,10.8,0,111.65,1936.69,3.46,6.12,15.41,1.4,0,0,0,1.87,5.33,2.4,6.92,824.31,0,0,162.85,135.72,0,0.7,0,0,2.02,18.07,1.4,0,0,136.08,0,8.07,1.17,0,13.33,4.29,0
 96-106,0,0,6.89,16.38,5.52,59.2,1887.62,5.6,8.83,19.24,0,1.22,2.89,1.47,2.39,1.93,5.82,0,356.47,0,10.63,198.56,158.71,0,0,0.85,6.02,12.58,15.27,0,0,1.42,333.13,0,0,0.87,0,14.33,1.85,6.4
108-118,0,0.76,17.94,1.22,5.3,75.5,2820.03,1.5,2.61,20.37,1.97,0,1.73,0.72,4.7,0,1.4,8.16,469.89,0,3.67,160.25,176.82,0.69,0,0.99,0,2.78,6.43,0,0,0,67.74,0,6.08,6.63,0,5.09,1.62,6.96
120,0,0,1.21,3.85,0,10.13,1490.63,0,0,25.1,0,0,0,0,0,0,0,0,120.57,10.55,0,119.41,147.28,0,0,2.84,0,0,8.75,0,0,0,111.35,0,0,0,0,0,8.94,0
