stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.52,0,0,0,0,0,0
  5-6,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,5.62,0,0,4.84,0,5.27,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,0,0,0,0,0,0,3.87,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,22.29,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,3.6,0,0,0,0,0,85.72,0,0,2.41,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.66,3.23,0,2.02,1.32,0,0,0,0,0,31.09,0,0,0,0,0,0
 48-58,0,2.59,0,6.77,0,3.03,0.58,0.92,0,0,0.4,0,0,3.11,3.92,0,0,0,0,0,24.23,0,0,1.02,0,0.66,0
 60-70,0,8.19,0,0,0,2.7,0,0,3.85,0,18.08,0,0,1.84,1.47,0,0,0,0,0,16.48,0,0,0,0,0,0
 72-82,0,2.17,0,3.31,0,9.89,1.79,0,0,0,11.86,0,0,0,2.02,0,0,0,0,0,3.6,0,0,0,0,0,1.39
 84-94,0,3.88,0,9.48,0,18.68,5.86,1.23,0,1.42,9.35,0,0,0,1.43,0,4.45,0,0,0,8.39,0.67,0,1.5,0,0,0
 96-106,0,1.29,4.7,0,2.93,26.57,5.42,0,0,1.29,6.85,1.61,1.67,2.02,8.85,0.6,0.66,0,0,0,17.97,0,0,0,0,0,0
108-118,0,10.4,0,3.18,0,18.3,13.45,0.67,0,3.97,26.72,0.71,1.3,0.53,8.94,0,0,0,0,0,10,0,0,0,0,1.26,0
120,0,5.16,0,6.86,0,37.8,18.04,3.12,0,5.6,33.88,0,0,2.74,11.4,0,0,2.11,0,2.67,5.13,0,0,0,9.46,0,0
