stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,203.21,0,0,0,0,0,0,0,0,0,0,0,0,29.99,0,0,0,0,0,0
  5-6,13.16,263.35,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0
  7-9,6.67,9.92,0,0,0,0,0,0,0,0,0,33.35,0,12.55,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.1,0,0,0,0,0,0,54.91,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.5,2.73,0,0,0,0,0,0,0,0
 24-34,0,0,0.69,0,0,0,0,0,0,0,0,1.73,1.23,0,0.73,0,0.62,0,0,0,1.04
 36-46,0,0,0,0,0.6,0,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.85,0,0,0,0,2.18,0.53,3.74,0.46,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.27,0,0,0,1.2,4.26,0,1.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.71,0.9,0,0,0,3.31,0,0.99,0,0,0,0,0,1.2,0,0,0
 84-94,0,0,0.57,0,0,0,0,0,0,10.95,0,4.74,4.98,0,0,0.62,0,0,1.19,0,0
 96-106,0,0,0,0,0,1.49,0,4.99,0,16.25,0,0,1.25,0,0,0,0,0.63,0.61,0,0
108-118,0,0,0,0.92,2.24,0,3.49,0,1.35,17.31,0,4.8,1.68,0,0,0,0,0,2.55,0.8,0
120,0,0,0,0,0,0,1.68,0,0,2.3,2,15.39,0,0,0,0,0,0,1.37,3.79,0
