stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,32.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61,0,0,0,0,0
 14-21,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,1.23,0,0.84
 24-34,0,0,0,6.17,0.6,0,0,0,0,0,0,0,1.88,6.95,0,0,10.33,0,1.42,0,0,1.38,7.9,0,0,0,0,0,0,8.1
 36-46,0,0,0,0.63,0,0,0.92,0,0,0,0,0,0,28.75,0,0,0,0.79,2.42,0,0,0,2.45,0,0,10.53,0,0.73,0,0
 48-58,0,0.49,0,0,0,0,1.01,0,0.42,0.41,0,0,0,7.42,0,0,2.14,0.59,7.16,0,0,0.7,7.92,0,0,0,0,0.85,0,1.14
 60-70,0,0,0,0,0,0,1.45,0,0.68,0.87,0,0,0,24.07,0,0,1.63,0,2.51,0,0,0.84,5.59,1.36,0,0,0,0,0.71,11.15
 72-82,0,0,0,4.62,1.34,0,4.25,0,0,0,4.89,0,0,10.19,0.61,0,0,0,7.87,0,0,0,7.98,0,0,3.21,0,2.87,1.9,9.33
 84-94,0,0,0,0,0,1.52,0,0.69,0.57,0,3.75,0,0,27.78,0,0,0,0,11.15,0,1.06,0,0,0,0,8.23,0,0,0,0
 96-106,0,0,0,4.53,0,1.63,2.61,0.67,0,0,5.78,0.77,0,32.56,0.75,0.75,0,0,13.47,0,3.06,0,6.81,0,0,15.59,0,0,3.72,2.82
108-118,0,0.41,1.47,2.19,0,0.93,6.74,0,0,0,4.97,0.79,0,22.24,0,0,0,0,0.68,1.41,0,0,0.48,0,0,7.31,0,0,1.38,10.72
120,0,0,0,5.39,1.22,0,0,0,1.45,0,0,0,0,29.44,1.65,1.15,0,0,1.35,0,0,0,4.15,0,0,36.98,0,0,1.41,3.52
