stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,0,5.84,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.49,5.38,0,0,28.73,0,0,7.7,0,0,0,0,0,0,0
 14-21,0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0,32.3,4.91,0,0,0,0,0,0,0,8.59,0,0,0,0,0
 24-34,0,1.97,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,387.1,0,0,0,0,0,0,0,2.87,11.6,0,0,0,0,0
 36-46,0,0,0,0,1.69,0.57,0,1.07,0,0,0,0,0,0,0,0,0,1.72,0,0,0,471.28,0,1.22,0,0,0,0,0,0,10.04,0,0,0,0,0
 48-58,0,4.07,0,0,19.76,0.96,0,11.85,0,0,0,0,0,0,0,0,0,4.91,0,0.84,0,691.92,0,0.47,0,0,1.63,1.42,0,0,17.31,0,0,0,0,0
 60-70,0,2.48,0,0,58.75,0,0,22,0,0,0,0,0,0,1.16,0,0,8.67,0,0,0.58,1447.01,0,0,0,0,0,1.41,2.06,0,4.75,0,0,4,0,2.19
 72-82,0,3.29,0,0,111.15,0,4.21,35.64,0,0,0.58,0,0,1.24,0,0,1.8,26.42,0.96,8.66,3.39,1617.83,0,1.25,0,0,0.71,4.87,0,0,20.98,0,0.75,1.78,2.71,0
 84-94,0,15.25,11.33,0,104.79,0,0.93,13.7,0,0,3.82,0.86,4.34,0,0,0,0,11.37,0,15.65,0.76,1139.69,0,0,0,0,0,0.97,0.94,0,27,1.29,0,0.97,3.06,2.54
 96-106,0,12.24,0,0,88.42,0,0.72,12.6,0,0,1.3,0,1.94,0,0,2.85,0,19.12,0,11.4,0,1044.1,0,0,0,0,0,0.75,0,0,5.54,0,2.46,1.82,9.55,0
108-118,0,11.78,1.35,2.23,65.35,0.77,4.83,5.76,0.42,0,0,0,3.69,0,0,0,0,24.97,0,6.29,5.09,1551.62,0,0.97,1.28,0,0.87,1.27,0,0,5.51,3.93,0,0.48,5.95,0
120,0,13.27,0,0,89.92,0,0,46.14,0,0,0,0,0,0,0,0,0,45.44,0,0,0,2080.98,0,0,0,10.96,18,1.05,2.27,0,11.36,0,0,4.29,29.71,0
