stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.79,36.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,21.72,0,4.59,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.97,0,0,0,73.91,0,0,0,0,0,0,0,0,0
 10-12,0,8.97,0,13.16,0,0,20.05,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,337.04,36.84,0,0,247.06,0,0,0,54.96,0,0,0,0,0
 14-21,0,0,0.8,0,5.71,7.64,3.99,0,0,174.07,0,0,0,0,0,0,0,0,4.04,0,0,5.69,283.44,11.56,2.46,9.69,17.32,3.23,0,9.39,64.37,5.38,494.96,0,0,0
 24-34,0,0,0,0,5.46,0,27.62,0.61,0.99,173.68,0,0,0,0,0,0,0.91,0.84,9.07,0,0,0.73,400.36,0.75,12.86,9.68,0,9.32,0,0,27.27,4.83,371.36,0,0,0
 36-46,0,0,0.95,0,1.84,0,31.93,0,0,122.01,0,0,0,0,9.13,9.59,0,0,3.55,0,0,0.56,298.07,0,16.81,2.78,0,0,0,0,12.5,0,294.45,0,1.85,0
 48-58,0,0,0,0,7.93,0,39.52,0,0,70.96,0,0,0.65,0,0,0,4.93,0,3.89,0,0,0.42,295.02,0,9.77,11.81,0,1.54,0,0,4.41,0,175.29,0,0,6.18
 60-70,0,0,0.89,0,0,0,28.88,0,0,62.62,0.96,0,0,0,0.71,0,6.55,0,9.85,0,0,0,281.71,0,12.93,12.57,0,4.09,0,0,22.13,0,64.9,0,0.7,0
 72-82,0,0,3.3,0,1.99,0,15.33,0,0,37.94,2.53,0,0,0,0,0,9,0,18.05,0.92,0,0,248.7,0,34.83,28.14,0,0,0,0,2.08,0,49.76,0,0,0
 84-94,0,0,6.64,1.01,1.37,0,12.39,0,1.76,51.32,4.34,0,1.57,0,1.68,0,14.84,0,23.58,0,5.51,0,140.28,0,41.33,48.48,0,5.88,0,0,5.06,0,46.2,0,0,0
 96-106,0,0,0,0,0.88,5.37,17.12,0,0,34.43,3.42,0,0,0,0,0,26.04,0,15.09,0,4.02,0,110.9,0,59.77,40.98,0,0,0,0,4.4,0,30.9,0,0,0
108-118,0,0,0.54,0,1.87,0,5.84,0.6,0,41.18,0,0,0,0.67,0.81,0.41,13.67,0,5.77,0,0,0,224.29,0,35.32,36.85,0,9.84,0.79,0,0,0,27.62,0,0,0
120,0,0,0,0,2.57,0,13.1,0,0,42.04,0,0,0,0,0,0,26.81,0,6.95,0,0,0,337.09,0,58.28,72.82,0,0,0,0,5.04,0,14.92,1.37,2.73,0
