stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.28,679.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.03,816.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.59,0,0,0,16.54,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,42.85,34.93,73.34,0,6.96,306.15,0,0,0,0,0,62.24,0,0,0,0,0,0,0,0,1461.45,60.21,0,0,450.12,0,0,12.67,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.07,80.57,0,22.1,309.89,0,0,0,0,0,45.65,0,0,0,0,0,0,0,0,1866.03,74.22,0,0,610.5,0,0,0,0,63.38,0,19.6,0,0,0,0,0,0
 14-21,0,0,1.01,17.67,9.08,23.42,0,1,0,1.8,0,0,3.07,0,0,0,0,30.29,0,13.53,315.79,4.95,0,2.29,4.9,0,0,0,18.63,1.05,4.54,54.37,78.57,0,0,0,0,0
 24-34,0.88,0,0.77,7.73,1.55,38,0.75,0,0.97,9.85,0,0,3.67,0,0.64,0,0,44.17,0,22.49,449.74,0,2.5,4.07,0,0,3.16,0,0,5.32,0.85,12.11,117.33,0,0,13.34,0,0
 36-46,0,0,0.56,3.17,0,91.29,6.05,0,1.91,28.36,0,0,1.6,0,1.97,0.7,0,50.69,0.6,13.93,551.28,0.9,3.09,1.21,0,0,1.24,0,0,0,0,0,126.91,0,0,7.09,0,5.89
 48-58,0,0,0,9.09,0,226.6,11.31,0,1.05,42.23,0,0,0.58,0,0,0,1,68.3,3.55,9.65,562.09,0.71,3.15,0.44,0,0,0,0,0,0,1.48,0,73.75,0,0,4.31,0,0.53
 60-70,0,0,0,0,0,250.47,1.41,0,3.84,20.5,0,0,0,0,0,0.69,0,45.17,2.44,11.95,420.41,0,3.38,0.69,0,0,0,0,0,0,1.39,0,55.81,0,0.61,0,0.71,0
 72-82,0,0,0,3.48,5.83,426.46,1.88,0,2.68,16.6,0,0,0,0.49,0,0.81,1.95,56.54,3.02,4.07,467.02,1.41,2.62,4.2,0,0.8,0.56,0,0,0,1.07,0,40.52,0,7.93,8.96,6.21,2.08
 84-94,0,0,0,2.23,7.35,237.04,7.04,1.73,0,26.44,0.8,0,0.8,0.75,1.06,1.05,2.36,40.55,5.84,6.4,331.06,0.65,0,1.5,0,0,7.21,0,0,0,0,0,25.67,0,2.73,1.94,4.36,0.55
 96-106,0,0,0,7.61,8,163.44,0.95,0,0.81,33.6,0.64,0,1.52,3.06,0,0.58,0,52.04,0,4.5,302.39,0,0.57,2.5,0,0,0.84,0,0,0,0.66,0,10.82,0,0.88,5.11,4.09,0.6
108-118,0,0,0,5.49,1.01,140.87,0.56,0,5.46,25.37,0,0,0.69,0,0,0,0,65.71,0.62,7.89,196.09,0,1.41,3.21,0,3.03,0,0,0,0,3.68,0,4.49,3.03,1.75,4.92,3.16,0
120,0,0,0,30.44,1.56,138.18,9.75,0,0,31.22,0,0,2.95,1.34,0,0,0,95.92,0,3.79,407.9,0,0,0,0,0,7.47,0,0,0,0,0,3.65,0,0,1.78,9.49,0
